sentence1,sentence2,label
"Работать в команде","Координировать разработку ПО",0.6
"Выполнять базовую токенизацию","Разделение текста на слова, символы, предложения",0.9
"Создавать use-case диаграммы","Описание функциональных требований через акторов и случаи использования",0.7
"Оптимизировать сложные запросы к распределенной базе данных.","Создать детализированную архитектурную модель храма с визуализацией.",0.0
"Создавать UML-диаграммы","Моделирование классов, последовательностей и активностей",0.7
"Управлять своим временем","Планировать спринты в проектах",0.6
"Мониторить безопасность с помощью Nessus","Отслеживать уязвимости с использованием Nessus",0.8
"Писать объектно-ориентированный код","Создание классов, интерфейсов и реализация принципов ООП",0.8
"Использовать ИКТ в профессиональной деятельности","Настраивать облачные сервисы",0.4
"Сотрудничать с UX-дизайнерами","Координация работы над удобством и внешним видом интерфейса",0.4
"Мониторить киберугрозы с помощью SIEM","Проводить тестирование API с SoapUI",0.4
"Способен понимать принципы работы IT-технологий","Настраивать серверы на Linux",0.3
"Интегрировать PostgreSQL с приложениями","Подключение базы данных к backend-приложениям Python, Java, PHP",0.6
"Писать код на языке Python","Оптимизировать производительность баз данных",0.2
"Общаться на бытовые темы","Ведение разговора на повседневные темы с коллегами, клиентами",0.9
"Способен заниматься разработкой ПО","Кодировать backend-приложения",0.8
"Выявляет соотношение части и целого в системе","Проектировать архитектуру микросервисов",0.4
"Выбирает стратегию коммуникации с учетом инклюзии","Тестировать доступность интерфейсов",0.2
"Способен воспринимать межкультурное разнообразие","Адаптировать ПО для рынков",0.5
"Обеспечивает безопасность жизнедеятельности","Внедрять защиту от кибератак",0.1
"Настроить виртуальную машину в Azure.","Оптимизировать производительность AWS-инстанса.",0.2
"Мониторить безопасность инфраструктуры с помощью Nessus для выявления потенциальных уязвимостей","Отслеживать и анализировать уязвимости с использованием инструмента Nessus",0.9
"Способен решать задачи с применением ИКТ","Автоматизировать тестирование ПО",0.5
"Физика полупроводников","Опыт работы с CRM-системами",0.1
"Перенести данные из старой версии 1С.","Оптимизировать сайт компании на WordPress.",0.0
"Настроить CI/CD для ускорения релизов.","Обучить команду основам Agile-методологии.",0.2
"Тестировать ПО","Выполнение функционального, регрессионного и нагрузочного тестирования",0.8
"Писать документацию для поддержки жизненного цикла ПО","Писать документацию для поддержки жизненного цикла ПО",1.0
"Теория автоматического управления","Знание принципов IoT",0.7
"Осуществлять тестирование ИС","Проверять качество релизов",0.8
"Оптимизировать код","Поиск и устранение узких мест для повышения производительности программы",0.8
"Создавать аналитические отчеты с помощью QlikView","Разрабатывать масштабируемые системы на основе Spring",0.2
"Тестировать отказоустойчивость распределенных систем","Проверять стабильность кластеров при сбоях",0.8
"Интегрировать системы с SAP через OData","Интегрировать системы с SAP через OData",1.0
"Разрабатывать ПО для IoT-устройств","Создавать UML-диаграммы для систем",0.2
"Создавать анимации интерфейсов с помощью GSAP","Создавать анимации интерфейсов с помощью GSAP",1.0
"Тестировать надежность программного обеспечения с нагрузочными тестами","Тестировать надежность программного обеспечения с нагрузочными тестами",1.0
"Соблюдать профессиональную этику","Следовать корпоративным стандартам",0.5
"Оптимизировать набор тест-кейсов","Удаление дублирующих, устаревших тестов",0.6
"Способен разрабатывать алгоритмы","Реализовывать парсеры данных",0.5
"Переводить тексты","Выполнение базового перевода документов, материалов",0.7
"Разработать ETL-процесс для потоковых данных.","Создать конвейер обработки в Apache Kafka.",0.4
"Исправить ошибки в конфигурации 1С.","Разработать веб-сервис для онлайн-заказов.",0.0
"Писать эффективный код на языке Python для серверных приложений","Писать эффективный код на языке Python для серверных приложений",1.0
"Способен осуществлять коммуникацию на иностранном языке","Общаться с техподдержкой вендоров",0.7
"Разрабатывать дашборды","Создание интерактивных панелей в Tableau, Power BI, Google Data Studio",0.7
"Обязательно знание SQL.","Опыт работы с базами данных приветствуется.",0.7
"Разрабатывает техническую документацию","Писать API-спецификации",0.6
"Понимать принципы инклюзии","Адаптировать интерфейсы для доступности",0.3
"Цифровая обработка сигналов","Опыт работы с аудио- или видеоданными",0.7
"Анализировать данные с использованием Apache Hive","Создавать анимации с помощью CSS и GSAP",0.3
"Осуществлять сопровождение печати","Контролировать процесс публикации",0.4
"Анализировать рынок IT-услуг","Использование инструментов анализа данных для исследования рынка",0.6
"Разработать сложное веб-приложение на React с адаптивностью.","Провести точную операцию на открытом сердце с подготовкой.",0.0
"Разработать блокчейн-решение для транзакций.","Настроить балансировку нагрузки на сервере.",0.0
"Управлять версиями кода","Эффективная работа с Git для контроля изменений и совместной разработки",0.7
"Обрабатывать асинхронные операции","Использование Promises, async/await для работы с API",0.6
"Идентифицировать риски","Выявление потенциальных угроз и слабых мест в проекте, процессе",0.9
"Оптимизировать загрузку изображений на сайте","Проводить базовый анализ ошибок в консоли",0.3
"Кодирует и тестирует ИС","Проводить юнит-тесты",0.7
"Настроить хранилище данных в Snowflake.","Интегрировать данные из S3-бакета.",0.2
"Изучать новые фреймворки","Исследование и тестирование новых фреймворков",0.9
"Соблюдать правила использования аппаратуры, оборудования и изделий медицинского назначения в ходе лечебно-диагностического процесса","Проводить тестирование и контроль качества программного обеспечения",0.1
"Общаться на бытовые темы","Ведение разговора на повседневные темы с коллегами, клиентами",0.9
"Определять акторов системы","Идентификация пользователей, внешних систем, взаимодействующих с системой",0.9
"Оценивать соответствие требованиям качества","Проверять DPI макета",0.6
"Оптимизировать нейронные сети в Keras","Проводить анализ производительности с New Relic",0.4
"Оптимизировать работу АСУ","Настройка параметров для повышения эффективности и производительности",0.6
"Документировать результаты тестирования","Фиксация фактических результатов и выявление дефектов",0.8
"Создавать визуализации данных с matplotlib в Python","Создавать визуализации данных с matplotlib в Python",1.0
"Настраивать системы мониторинга и трассировки с OpenTelemetry для анализа поведения приложений","Конфигурировать инструменты трассировки с OpenTelemetry для глубокого анализа",0.9
"Интегрировать сторонние библиотеки","Подключение и настройка сторонних инструментов",0.6
"Управлять проектами в сфере IT","Контроль сроков выполнения задач и распределение ресурсов команды",0.6
"Квантовая механика","Работа с базами данных клиентов",0.1
"Тестировать безопасность приложений с OWASP ZAP","Администрировать кластеры баз данных PostgreSQL",0.2
"Выполнять настройку параметров печати","Калибровать цвета для вывода",0.8
"Настраивать кластеры Kubernetes для приложений","Интегрировать системы с использованием WebSocket",0.4
"Интегрировать системы мониторинга с Prometheus и Grafana","Интегрировать системы мониторинга с Prometheus и Grafana",1.0
"Основы программирования на C++","Навыки разработки на Java",0.4
"Внедрять программное обеспечение","Устанавливать и кофигурировать программное обеспечение ",0.8
"Мониторить риски","Отслеживание выявленных рисков и их динамики",0.7
"Физика полупроводников","Опыт работы с CRM-системами",0.1
"Выполнять рендеринг","Подготовка финальных изображений, видеороликов в высоком качестве",0.9
"Работать с базами данных","Использование SQL, NoSQL, ORM для хранения и обработки данных",0.6
"Планирует цели с учетом ограничений","Определять roadmap проекта",0.7
"Оптимизировать процессы продаж","Использование подходов для улучшения продаж",0.6
"Анализировать потребности бизнеса","Определение целей и задач для внедрения информационной системы",0.6
"Интегрировать систему оплаты через Stripe.","Реализовать API для обработки транзакций.",0.4
"Разрабатывать системы управления контентом","Создавать схемы данных в Lucidchart",0.4
"Способен поддерживать физическую подготовленность","Оптимизировать рабочий график",0.1
"Составлять прогноз социально-экономических показателей","Прогнозировать эффект от автоматизации",0.3
"Разрабатывать модели ИИ","Создание алгоритмов машинного обучения и глубокого обучения",0.8
"Применять системный подход","Проектировать архитектуру ПО",0.6
"Анализировать логи с помощью текстового редактора","Разрабатывать шаблоны email-рассылок",0.3
"Оптимизировать скорость загрузки веб-страниц с Lighthouse для улучшения пользовательского опыта","Улучшать производительность сайтов с применением инструмента Lighthouse",0.9
"Координировать действия с коллегами","Синхронизация усилий для достижения общей цели",0.6
"Интегрировать CRM с внешними сервисами","Писать юнит-тесты для кода",0.2
"Оптимизировать процессы CI/CD с CircleCI","Настраивать маршрутизацию в сетях Cisco",0.3
"Анализировать тренды","Использование актуальных тенденций в разработке новых концепций",0.8
"Разрабатывать системы аутентификации и авторизации с Keycloak для обеспечения безопасности","Настраивать процессы авторизации и аутентификации через Keycloak",0.9
"Оптимизировать работу с базами данных через SQLAlchemy","Оптимизировать работу с базами данных через SQLAlchemy",1.0
"Использует естественнонаучные знания","Моделировать данные в Python",0.2
"Реализовать модель машинного обучения в PySpark.","Визуализировать результаты в Databricks.",0.3
"Оптимизировать производительность приложений, написанных на Go, для повышения скорости обработки","Улучшать эффективность работы программного обеспечения на языке Go для масштабируемости",0.9
"Разрабатывать информационные системы","Проектирование и внедрение систем для автоматизации бизнес-процессов",0.7
"Формировать готовое техническое задание","Составлять ТЗ для интерфейса",0.8
"Создавать визуализации данных в D3.js","Разрабатывать серверную логику на FastAPI",0.4
"Материаловедение","Умение работать с таблицами Excel",0.1
"Публиковать приложения в магазины","Отправка приложений в App Store и Google Play",0.8
"Документировать Use Cases","Создание понятных текстовых описаний для разработчиков и тестировщиков",0.6
"Проявлять гибкость в команде","Готовность адаптироваться к изменениям и новым ролям",0.6
"Настраивать автоматизацию деплоя с GitHub Actions","Настраивать автоматизацию деплоя с GitHub Actions",1.0
"Проверять полноту требований","Убедиться, что все аспекты проекта покрыты требованиями",0.9
"Использовать метрики Agile","Отслеживание скорости команды, burndown-чартов и других показателей",0.9
"Выявлять узкие места","Поиск проблем в системе, возникающих при высокой нагрузке",0.7
"Проектировать системы с использованием Istio","Проектировать системы с использованием Istio",1.0
"Обрабатывать события в реальном времени","Работа с WebSocket, Server-Sent Events для мгновенных обновлений",1.0
"Планировать и реализовывать профессиональное развитие","Изучать новые дизайн-тренды",0.4
"Провести анализ производительности кода на Go.","Подготовить аналитический отчет по метрикам проекта.",0.4
"Анализировать данные с использованием pandas в Python","Анализировать данные с использованием pandas в Python",1.0
"Поддерживать работу системы","Устранение ошибок и обновление конфигурации",0.4
"Осуществлять программирование и тестирование","Проводить юнит-тесты",0.7
"Управлять версиями ПО","Использование Git для контроля изменений в коде",0.8
"Тестировать веб-сайты на уязвимости","Диагностировать заболевания",0.1
"Разрабатывать системное ПО","Создание драйверов, операционных систем, встраиваемых систем",0.8
"Способен управлять траекторией саморазвития","Изучать новые фреймворки",0.7
"Аэродинамика","Организация корпоративных тренингов",0.1
Визуализировать идеи","Перевод абстрактных концепций в понятные схемы, эскизы, прототипы",0.6
"Разрабатывать REST API с использованием фреймворка Flask","Разрабатывать REST API с использованием фреймворка Flask",1.0
"Писать код на Python","Создание  скриптов и приложений с использованием базовых конструкций языка",0.6
"Интегрировать базы данных с приложениями","Подключение баз данных к backend-системам",0.7
"Интегрировать системы мониторинга с Zabbix","Писать модульные тесты с использованием JUnit",0.3
"Интегрировать API платежной системы.","Настроить обработку транзакций на backend.",0.6
"Документировать свои проекты","Описание кода и создание README-файлов для своих работ",0.6
"Документировать риски и меры","Фиксация всех выявленных рисков и предпринятых шагов по их управлению",0.7
"Писать код для обработки потоков в Kafka","Писать код для обработки потоков в Kafka",1.0
"Обеспечивать стабильность тестовой среды","Подготовка тестового стенда и данных",0.5
"Проектировать системы с учетом требований безопасности OWASP","Проектировать системы с учетом требований безопасности OWASP",1.0
"Планировать профессиональное развитие","Проходить курсы по 3D-дизайну",0.5
"Создавать веб-приложения с использованием Django на Python","Создавать веб-приложения с использованием Django на Python",1.0
"Проектировать системы на Kubernetes","Оптимизировать запросы к SQL-базам",0.2
"Способен разрабатывать техдокументацию","Создавать схемы архитектуры",0.7
"Проводит системный анализ","Анализировать требования к ПО",0.7
"Писать серверный код на языке Rust","Тестировать стабильность приложений под нагрузкой",0.3
"Сопротивление материалов","Написание новостных статей",0.1
"Цифровая обработка сигналов","Навыки холодных звонков",0.0
"Планировать этапы разработки","Определение целей, задач и сроков для каждого этапа SDLC",0.9
"Взаимодействие между отделами","Координация работы различных подразделений",0.7
"Необходим специалист по машинному обучению.","Требуется эксперт в области анализа данных.",0.5
"Создавать прототипы интерфейсов с использованием Framer","Создавать прототипы интерфейсов с использованием Framer",1.0
"Планировать выполнение работ по макету","Ставить сроки для дизайна",0.6
"Настраивать виртуальное окружение","Работа с virtualenv, venv для управления зависимостями",0.6
"Инсталлирует ПО и оборудование","Разворачивать Docker-контейнеры",0.7
"Адаптировать ПО под рынки","Тестирование адаптированного ПО на соответствие региональным стандартам",0.5
"Распределить ресурсы между задачами.","Провести обучение по новым инструментам.",0.1
"Проектировать структуру простых приложений","Оптимизировать скорость загрузки страниц",0.3
"Ставить задачи команде разработчиков","Обеспечение задач командой разработчиков",0.7
"Выбирать способы решения задач профессиональной деятельности","Определять подход к разработке ПО",0.8
"Фиксировать требования на старте","Сбор и документирование всех требований перед началом разработки",0.7
"Тестировать производительность API с LoadRunner","Оценивать нагрузку API с помощью LoadRunner",0.8
"Писать код на JavaScript","Тестировать производительность приложений",0.2
"Создавать BPMN-диаграммы","Моделирование бизнес-процессов в нотации BPMN для их визуализации",0.9
"Адаптировать идеи под ограничения","Нахождение баланса между креативностью и реальными условиями",0.4
"Разрабатывать API","Проектирование RESTful, GraphQL API для взаимодействия между сервисами",0.8
"Создать модуль для обработки больших данных.","Настроить систему контроля версий.",0.0
"Мониторить состояние инфраструктуры с помощью Nagios","Проектировать адаптивные интерфейсы для мобильных устройств",0.2
"Настроить обмен данными между 1С и CRM.","Обучить сотрудников работе с системой.",0.0
"Оценивать вклад участников","Признание заслуг других и конструктивная обратная связь",0.5
"Реализовать надежный механизм кэширования данных в приложении.","Приготовить изысканное блюдо высокой кухни с декором.",0.0
"Разрабатывает алгоритмы и программы","Оптимизировать SQL-запросы",0.6
"Приоритизировать требования","Распределение задач по важности",1.0
