sentence1,sentence2,label
"Математический анализ","Разработка алгоритмов на основе дифференциальных уравнений и численных методов",0.8
"Знание MS Office","Выполнение базовых операций в MS Office (оформление текста, создание таблиц, простые графики)",0.4
"Работать с базами данных","Выполнение сложных SQL-запросов к реляционным и NoSQL базам данных",0.7
"Моделировать процессы и системы","Построение диаграмм потоков данных (DFD) и UML-диаграмм",0.3
"Внедрять программное обеспечение","Деплой приложения в рабочую среду и обучение пользователей",0.6
"Специалист по машинному обучению","Разработка и внедрение сложных моделей машинного обучения для решения бизнес-задач",1.0
"Оценивать вклад участников","Признание заслуг других и конструктивная обратная связь",0.2
"Активно слушать собеседника","Внимательное восприятие чужой точки зрения без перебоев",0.7
"Оптимизировать существующие алгоритмы","Улучшение производительности за счет устранения лишних операций",0.5
"Планировать и реализовывать профессиональное развитие","Изучать новые дизайн-тренды",0.5
"Обеспечивать трассируемость требований","Связывание требований с задачами, тестами и результатами",0.5
"Осуществлять коммуникацию на государственном языке","Подготовка и проведение презентаций на государственном языке для различных аудиторий",0.6
"Обучать команду работе с требованиями","Повышение осведомленности о важности четких требований",0.1
"Выбирает стратегию коммуникации с учетом инклюзии","Тестировать доступность интерфейсов",0.1
"Разбираться в базах данных","Понимание структуры таблиц и базовых SQL-запросов",0.1
"Заниматься самообразованием","Создание личного плана развития и отслеживание прогресса в обучении",0.5
"Создавать схемы архитектуры","Разработка сложных архитектурных схем для программных и аппаратных решений с использованием UML, BPMN",1.0
"Ставить задачи команде разработчиков","Участие в постановке задач под руководством тимлида или менеджера проекта",0.4
"Анализировать результаты по завершении","Оценка успеха проекта и выявление улучшений для будущих проектов",0.1
"Оценивать качество моделей","Использование метрик (accuracy, precision, recall) для анализа результатов",0.6
"Документировать разработку","Создание технической документации для разработчиков и пользователей",0.3
"Управлять данными в микросервисах","Реализация подходов к работе с базами данных (Database per Service, Event Sourcing)",1.0
"Писать код для мобильных платформ","Создание приложений для iOS и Android с использованием Swift, Kotlin или Java",0.9
"Выбирать способы решения задач","Подготовка рекомендаций по выбору способов решения задач для реализации проектов",0.5
"Определять задачи в рамках цели","Базовое понимание принципов постановки задач и их связи с целями",0.2
"Работать со светом и камерой","Настройка освещения и ракурсов для качественных рендеров",0.7
"Настраивать микросервисы","Оптимизация производительности и масштабируемости микросервисной архитектуры",0.8
"Математический анализ","Использование программных инструментов (Mathematica, Maple) для выполнения аналитических расчетов",0.6
"Математический анализ","Решение задач оптимизации и моделирования с помощью математического анализа",0.3
"Управлять изменениями строго","Минимизация изменений в требованиях после начала разработки",0.4
"Применять принципы UX/UI дизайна","Учет удобства использования и эстетики при разработке интерфейсов",0.3
"Автоматизировать документооборот","Использование облачных решений для хранения и обработки документов",0.4
"Работать в команде","Координировать с backend-разработчиками",0.6
"Эксперт в области анализа данных","Создание сложных моделей прогнозирования и анализа данных с использованием Python, R или SQL",0.9
"Проверять согласованность требований","Убедиться, что требования не противоречат друг другу",0.4
"Использовать IT в деятельности","Применять Blender для анимации",0.3
"Осуществлять сбор и анализ данных для ТЗ","Участие в сборе данных и подготовке базовых ТЗ под руководством опытных специалистов",0.4
"Умение работать с таблицами Excel","Подготовка аналитических отчетов и дашбордов на основе данных в Excel",0.8
"Заниматься самообразованием","Базовое понимание важности самообразования и его роли в карьере",0.2
"Использовать современные стандарты C++","Применение возможностей C++17, C++20 или выше",0.3
"Администрировать PostgreSQL","Настройка пользователей, ролей и прав доступа к базе данных",1.0
"Инженерная графика","Проектирование деталей и узлов для машиностроения и строительства",0.8
"Использовать информационные технологии","Применять Figma для прототипов",0.6
"Инженерная графика","Использование стандартов ЕСКД/ГОСТ при оформлении чертежей",0.5
"Интегрировать сторонние библиотеки","Подключение и настройка инструментов, таких как Chart.js, D3.js или GSAP",0.4
"Создавать графики и диаграммы","Использование инструментов для визуализации данных (Matplotlib, Seaborn, Plotly)",0.9
"Управлять своим временем","Планировать спринты в проектах",0.8
"Разрабатывать веб-приложения","Базовое понимание принципов разработки веб-приложений",0.2
"Проектировать базы данных","Создание нормализованных структур таблиц и связей",0.8
"Разрабатывать модульную структуру","Организация кода в виде слоев или компонентов для удобства поддержки",1.0
"Базы данных и SQL","Использование инструментов администрирования баз данных (phpMyAdmin, pgAdmin)",0.4
"Обучать сотрудников работе с автоматизацией","Проведение тренингов по использованию новых автоматизированных инструментов",0.1
"Работать с микросервисами","Разработка и интеграция микросервисов с использованием Spring Cloud",0.3
"Знание MS Office","Знакомство с интерфейсом и основными возможностями MS Office",0.1
"Писать качественный код","Соблюдение принципов clean code и использование паттернов проектирования",0.8
"Определять задачи в рамках цели","Знакомство с концепцией разбиения целей на задачи",0.1
"Обеспечивать безопасность API","Использование аутентификации (JWT, OAuth) и авторизации",0.8
"Анализировать данные пользователей","Использование инструментов (Hotjar, Google Analytics) для изучения действий",0.6
"Цифровая обработка сигналов","Опыт работы с аудио- или видеоданными",0.7
"Решать конфликты в команде","Нахождение компромиссов и устранение разногласий",0.7
"Оптимизировать производительность","Устранение узких мест и балансировка нагрузки между сервисами",0.2
"Гидравлика","Участие в переговорах с клиентами",0.0
"Планировать выполнение работ по макету","Составление простого плана для небольших проектов или задач",0.3
"Обязательно знание SQL","Создание и поддержка триггеров, хранимых процедур и функций в SQL",0.8
"Математическое моделирование","Анализ и интерпретация результатов математического моделирования для принятия решений",0.7
"Интерпретировать результаты","Объяснение выводов моделей для неспециалистов",0.3
"Оптимизировать производительность","Улучшение скорости работы и снижение потребления ресурсов",0.3
"Работать с библиотеками и фреймворками","Использование готовых инструментов для ускорения разработки",0.8
"Проводить анализ требований","Создание спецификаций требований (SRS) для команды разработки",0.7
"Участвовать в планировании и реализации IT-проектов в составе команды разработчиков","Знакомство с принципами работы в команде разработчиков",0.1
"Анализировать рынок IT-услуг","Сбор и анализ данных о ключевых игроках рынка IT-услуг (вендорах, подрядчиках, стартапах)",0.8
"Выбирать подходящие системы","Сравнение ERP, CRM, SCM или других решений под требования компании",0.7
"Готовить техническую документацию","Использование специализированных инструментов (Confluence, MadCap Flare, Markdown) для создания документации",0.7
"Документировать ошибки и исключения","Описание возможных ошибок и способов их устранения",0.3
"Принимать решения в нестандартных ситуациях","Решать инциденты в IT-системах",0.8
"Тестировать backend-код","Написание простых unit-тестов для проверки функционала",1.0
"Заниматься самообразованием","Регулярное изучение новых технологий, инструментов и методологий для профессионального роста",1.0
"Грамотная письменная и устная речь","Четкое и логичное изложение мыслей в деловой переписке, отчетах и выступлениях",0.9
"Разрабатывать модели ИИ","Создание алгоритмов машинного обучения и глубокого обучения",0.9
"Специалист по машинному обучению","Отсутствие опыта или знаний в области машинного обучения",0.0
"Готовить техническую документацию","Разработка инструкций, руководств пользователя и технических описаний для программных и аппаратных решений",0.9
"Создавать диаграммы классов","Моделирование структуры системы через классы, атрибуты и методы",0.9
"Публиковать приложения в магазины","Подготовка и отправка приложений в App Store и Google Play",0.2
"Разрабатывать диаграммы последовательностей","Описание взаимодействия объектов во времени",0.7
"Соблюдать требования информационной безопасности","Настраивать шифрование данных",0.6
"Готовить данные для классификации","Очистка, нормализация и разметка данных перед обучением модели",0.7
"Определять выбор технических средств для макета","Базовый выбор инструментов для создания простых макетов",0.3
"Проводить мастер-классы по технологиям дизайна","Обучать коллег работе в Adobe",0.8
"Обучать сотрудников кибербезопасности","Проведение тренингов по распознаванию фишинга и других угроз",0.3
"Знание основ маркетинга","Взаимодействие с командой для внедрения маркетинговых инициатив",0.3
"Работать с API","Создание RESTful API или интеграция с внешними сервисами",0.4
"Управлять инфраструктурой как код (IaC)","Работа с Terraform, Ansible или CloudFormation для автоматизации",0.7
"Настраивать шифрование данных","Настройка протоколов шифрования для безопасной передачи данных между клиентом и сервером",0.8
"Грамотная письменная и устная речь","Использование корректной терминологии и профессионального сленга в речи и текстах",0.8
"Работать с инструментами сборки","Настройка Webpack, Vite или Parcel для проектов",0.3
"Документировать код и архитектуру","Создание документации для разработчиков и поддержки",0.3
"Анализировать данные в CRM","Формирование отчетов по продажам, лидам и клиентской базе",1.0
"Изучать технические требования","Проведение базового анализа технических требований для небольших проектов",0.3
"Автоматизировать процессы ML","Создание пайплайнов для автоматизации обучения и тестирования моделей",0.5
"Знание основ электротехники и электроники","Участие в проектах по разработке электронных систем или устройств",0.3
"Писать SQL-запросы","Создание запросов для выборки, обновления и удаления данных",0.9
"Анализировать и синтезировать информацию","Участие в анализе данных под руководством опытных специалистов",0.3
"Администратор баз данных","Миграция данных между различными СУБД и версиями баз данных",0.6
"Высшее техническое образование","Получение практических навыков через лабораторные работы и стажировки во время учебы",0.7
"Грамотная письменная и устная речь","Создание профессиональных текстов и проведение презентаций на высоком уровне грамотности и стиля",1.0
"Готовить техническую документацию","Оформление документации в соответствии с международными стандартами (ISO, ГОСТ)",0.8
"Оценивать качество классификации","Использование метрик (accuracy, precision, recall, F1-score, ROC-AUC)",0.8
"Грамотная письменная и устная речь","Участие в обсуждениях и совещаниях с четким и понятным изложением своей позиции",0.4
"Адаптироваться к изменениям","Гибкая перестройка планов при возникновении непредвиденных ситуаций",0.1
"Настраивать шифрование данных","Участие в базовой настройке шифрования под руководством опытных специалистов",0.4
"Настраивать и кастомизировать ПО","Адаптация системы под специфику бизнес-процессов",1.0
"Модернизировать существующие АСУ","Внедрение новых технологий и обновление устаревших решений",0.1
"Поддерживать позитивную атмосферу","Создание комфортной среды для продуктивной работы",0.9
"Основы программирования на C++","Использование библиотек и фреймворков C++ для решения задач (STL, Boost)",0.6
"Анализировать требования к дизайну","Исследование целевой аудитории и анализ трендов для разработки удобного и привлекательного дизайна",0.9
"Изучать технические требования","Участие в обсуждении и анализе технических требований под руководством опытных специалистов",0.4
"Разработчик мобильных приложений","Реализация пользовательских интерфейсов (UI/UX) для мобильных платформ",0.6
"Теория автоматического управления","Разработка и оптимизация систем автоматического управления для сложных технических процессов",1.0
"Организовывать рабочее место","Настраивать CI/CD процессы",0.0
"Документировать UX-решения","Фиксация выводов и рекомендаций по улучшению пользовательского опыта",0.1
"Создание контента для социальных сетей","Разработка стратегии контент-планирования и создание вовлекающего контента для социальных платформ",1.0
"Восстанавливать данные из резервных копий","Выполнение процедур backup и restore в случае сбоев",0.3
"Создавать схемы архитектуры","Создание подробных технических диаграмм для документации проекта",0.8
"Ставить задачи команде разработчиков","Базовое понимание принципов постановки задач и работы с командой",0.2
"Тестировать программное обеспечение","Написание unit-тестов, интеграционных тестов и автоматизация проверок",1.0
"Участвовать в совещаниях на английском","Активное участие в обсуждениях и презентациях на рабочие темы",0.7
"Разрабатывать стратегию цифровой трансформации","Создание плана перехода на цифровые технологии для бизнеса",0.1
"Настраивать микросервисы","Знакомство с концепцией микросервисов и их преимуществами",0.1
"Тестировать ERP-системы","Проверка работоспособности и выявление ошибок перед запуском",0.5
"Обрабатывать несбалансированные данные","Применение методов oversampling, undersampling или SMOTE",0.6
"Тестировать приложения","Написание unit-тестов и UI-тестов для проверки функционала",0.6
"Ставить задачи команде разработчиков","Знакомство с процессом делегирования задач команде",0.1
"Обсуждать задачи с аналитиками","Базовое понимание важности обсуждения задач с аналитиками",0.2
"Использовать JSONB и NoSQL-функции","Хранение и работа с полуструктурированными данными",0.4
"Отлаживать программы","Использование инструментов отладки (GDB) для поиска ошибок",0.5
"Составлять четкие тест-кейсы","Описание шагов, ожидаемых результатов и критериев успеха",0.9
"Работать с контейнерами","Использование Docker и Kubernetes для управления приложениями",0.6
"Писать код на PHP","Создание серверных скриптов для веб-приложений",0.9
"Разработка и проектирование программных систем","Базовое понимание принципов проектирования программных систем",0.2
"Понимать устную речь","Восприятие информации из подкастов, видео или живой речи",1.0
"Обеспечивать информационную безопасность","Реализация мер для предотвращения утечек данных",0.9
"Писать чистый и понятный код","Соблюдение стандартов написания кода для удобства чтения и поддержки",0.9
"Осуществлять программирование и тестирование","Проводить юнит-тесты",0.9
"Анализировать требования к дизайну","Отсутствие опыта или знаний в области анализа требований к дизайну",0.0
"Решать задачи реального времени","Разработка систем для видеонаблюдения, распознавания лиц или жестов",0.2
"Создание контента для социальных сетей","Знакомство с основами написания текстов и создания простого визуального контента",0.1
"Осуществлять программирование и тестирование","Использование фреймворков тестирования (JUnit, Selenium, PyTest) для проверки кода",0.7
"Автоматизировать анализ","Написание скриптов на Python или R для автоматизации процессов",0.4
"Обладает знаниями управления проектами","Вести проекты по Agile",0.9
"Адаптировать ПО под рынки","Знакомство с концепцией локализации и адаптации программного обеспечения",0.1
"Разрабатывать веб-приложения","Проектирование и реализация RESTful API для веб-приложений",0.8
"Планировать профессиональное развитие","Проходить курсы по 3D-дизайну",0.5
"Оптимизировать производительность","Устранение узких мест в монолитной архитектуре",0.7
"Создание контента для социальных сетей","Ведение сообществ и взаимодействие с подписчиками через контент",0.5
"Обрабатывать ошибки в API","Внедрение стандартизированных кодов ошибок и сообщений",0.4
"Тестировать ПО","Участие в процессе отладки и исправления ошибок в ПО",0.6
"Планировать меры по снижению рисков","Разработка стратегий для предотвращения или минимизации последствий",0.8
"Документировать процессы","Создание технической документации и отчетов по проекту",0.3
"Инженерная графика","Организация мероприятий",0.0
"Определять выбор технических средств для макета","Знакомство с основными инструментами для создания макетов",0.1
"Осуществлять программирование и тестирование","Базовое понимание принципов программирования и тестирования",0.2
"Программирование на Python","Отладка и тестирование программного кода с использованием инструментов (Pytest, unittest)",0.5
"Идентифицировать IT-риски","Выявление угроз, связанных с технологиями, сроками и ресурсами",0.9
"Поддерживать долгосрочные отношения","Создание доверительной базы для повторного сотрудничества",0.6
"Физика полупроводников","Понимание принципов работы FPGA",0.6
"Настраивать облачные сервисы","Базовое понимание принципов работы облачных сервисов и их настройки",0.2
"Применение JavaScript","Использование библиотек и инструментов (Lodash, Axios, D3.js) для улучшения функциональности приложений",0.6
"Создавать use-case диаграммы","Описание функциональных требований через акторов и случаи использования",0.6
"Писать спецификации для API","Базовое понимание принципов написания спецификаций для API",0.2
"Обеспечивать поддержку и сопровождение","Исправление ошибок и доработка функционала после выпуска",1.0
"Обязательно знание SQL","Знакомство с основами SQL и выполнение простых запросов",0.1
"Вести переговоры с клиентами","Подготовка коммерческих предложений и заключение договоров",0.4
"Знание основ электротехники и электроники","Подготовка технической документации для электронных устройств",0.5
"Программировать микроконтроллеры","Написание кода для управления устройствами интернета вещей (IoT)",0.9
"Интегрировать API","Подключение внешних сервисов и работа с сетевыми запросами (REST, GraphQL)",0.8
"Оценивать качество кластеризации","Использование метрик, таких как Davies-Bouldin Index или Rand Index",0.5
