sentence1,sentence2,label
"Работать с API","Создание RESTful API, интеграция с внешними сервисами",0.8
"Программа обучения включает изучение алгоритмов.","Курс рассчитан на студентов, интересующихся искусственным интеллектом.",0.5
"Численные методы","Оптимизация алгоритмов в MATLAB",0.6
"Администратор баз данных","Использование инструментов администрирования pgAdmin, SQL Server Management Studio",0.9
"Управлять изменениями в проекте","Контроль влияния изменений требований на сроки и бюджет",0.6
"Переводить тексты","Выполнение перевода документов, материалов",0.9
"Резервировать данные","Создание регулярных backup'ов",1.0
"Проектирование базы данных","Создание ER-диаграмм и проектирование структуры баз данных",0.9
"Использовать метрики Agile","Отслеживание скорости команды, burndown-чартов и других показателей",0.9
"Настраивать облачные сервисы","Развертывание и настройка облачных инфраструктур AWS, Azure, Google Cloud",1.0
"Работать с данными в ERP","Анализ отчетов и управление данными внутри системы",0.3
"Инженерная графика и черчение","Умение работать в AutoCAD",0.8
"Обучать сотрудников кибербезопасности","Проведение тренингов по распознаванию фишинга",0.9
"Осуществлять коммуникацию на государственном языке","Подготовка и проведение презентаций на государственном языке",0.6
"Интегрировать с другими системами","Подключение 1С:ERP к CRM, WMS, внешним сервисам",0.8
"Классифицировать тесты по типам","Разделение тест-кейсов на функциональные, регрессионные и нагрузочные",0.7
"Инженерная графика","Проектирование деталей и узлов для машиностроения и строительства",0.7
"Изучать новые фреймворки","Исследование и тестирование новых фреймворков",0.9
"Использовать стандартную библиотеку Java","Применение коллекций, потоков ввода-вывода и многопоточности",0.6
"Интегрировать базы данных с приложениями","Подключение баз данных к backend-системам",0.7
"Использовать ИКТ","Автоматизировать тестирование",0.4
"Тестировать функциональные требования","Создание тестов для проверки реализации каждого требования",0.9
"Координировать действия с коллегами","Синхронизация усилий для достижения общей цели",0.6
"Управлять зависимостями","Контроль библиотек и внешних сервисов",0.6
"Обеспечивать безопасность кода","Защита от уязвимостей",0.9
"Документировать результаты тестирования","Фиксация фактических результатов и выявление дефектов",0.9
"Писать чистый JavaScript","Создание функционального кода без использования сторонних библиотек",0.7
"Обслуживать рабочие станции","Установка и настройка ПО, устранение неисправностей",0.3
"Обеспечивать работоспособность серверов","Настройка и поддержка Linux/Windows-серверов для бесперебойной работы",0.8
"Разрабатывать эффективные алгоритмы","Создание решений для задач сортировки, поиска, оптимизации",0.3
"Сопротивление материалов","Написание новостных статей",0.0
"Проектировать масштабируемую архитектуру ПО.","Автоматизировать сбор логов ошибок.",0.0
"Оптимизировать производительность алгоритмов.","Разработать руководство пользователя для программы.",0.0
"Реализовать многопоточность в приложении.","Провести рефакторинг устаревшего кода.",0.0
"Создать модуль для обработки больших данных.","Настроить систему контроля версий.",0.0
"Разработать REST API для сервиса.","Интегрировать стороннюю библиотеку аутентификации.",0.0
"Обеспечить кроссплатформенную совместимость ПО.","Провести нагрузочное тестирование приложения.",0.0
"Внедрить паттерн проектирования MVC.","Сгенерировать тестовые данные для отладки.",0.0
"Разработать систему уведомлений в реальном времени.","Оптимизировать потребление памяти программы.",0.0
"Создать утилиту для парсинга JSON.","Проверить код на соответствие стандартам качества.",0.0
"Реализовать шифрование данных в приложении.","Настроить пайплайн для автоматической сборки.",0.0
"Обеспечивать стабильность тестовой среды","Подготовка тестового стенда и данных",0.3
"Теория вероятностей","Анализ данных в Excel",0.0
"Разбираться в базах данных","Понимание структуры таблиц и SQL-запросов",0.9
"Определяет свою роль в команде","Координировать работу тестировщиков",0.1
"Проявлять гибкость в команде","Готовность адаптироваться к изменениям и новым ролям",0.3
"Работать с нормативными требованиями","Соблюдение стандартов GDPR, ISO и других регламентов",0.6
"Оптимизировать систему под нагрузку","Предложение изменений для улучшения производительности",0.1
"Автоматизировать процессы","Применение технологий для ускорения процессов",0.8
"Взаимодействие между отделами","Координация работы различных подразделений",0.8
"Обучать пользователей работе с 1С","Проведение тренингов и создание инструкций для сотрудников заказчика",0.4
"Реализовывать алгоритмы на языке программирования","Написание кода для классических алгоритмов",0.6
"Использовать языки программирования","Применение Python, Java, C++",0.8
"Использует естественнонаучные знания","Моделировать данные в Python",0.2
"Оказывать юридическую консультацию","Разработка договоров и правовых документов для бизнеса",0.6
"Работать с n-граммами","Создание последовательностей слов, символов для анализа",0.4
"Разрабатывать системное ПО","Создание драйверов, операционных систем, встраиваемых систем",0.9
"Защищать от кибератак","Настройка брандмауэров, антивирусов и систем обнаружения вторжений",0.7
"Работать с API","Интеграция внешних сервисов через RESTful API и GraphQL",0.5
"Опытный Java-разработчик","Оптимизация производительности Java-приложений и работа с многопоточностью",0.7
"Использовать системы контроля версий","Работа с Git для управления изменениями в коде",0.9
"Разрабатывать игры, графические приложения","Использование библиотек SFML, OpenGL для создания игр, графики",0.5
"Адаптировать приложения под устройства","Оптимизация интерфейса и функционала под разные экраны и ОС",0.5
"Управлять проектами в сфере IT","Контроль сроков выполнения задач и распределение ресурсов команды",0.3
"Коммуницировать с заинтересованными сторонами","Регулярное информирование клиентов и руководства о прогрессе",0.4
"Отлаживать программы","Использование инструментов отладки для поиска ошибок",0.6
"Работать с микросервисами","Разработка и интеграция микросервисов",0.7
"Оценивать соответствие требованиям качества","Выполнение аудитов и проверок для подтверждения критериев качества",0.6
"Планировать нагрузочное тестирование","Определение целей, сценариев и метрик для анализа производительности",0.7
"Готовить презентации на английском","Создание и представление контента для аудитории",0.2
"Оптимизировать код","Поиск и устранение узких мест для повышения производительности программы",0.8
"Анализировать результаты кластеризации","Интерпретация групп данных и их значимости для бизнеса",0.7
"Проектировать удобные интерфейсы","Создание интуитивно понятных и простых в использовании UI/UX",0.8
"Использовать TypeScript в проектах","Добавление строгой типизации",0.5
"Электромагнетизм","Понимание принципов работы радиочастотных систем",0.3
"Ставить правильные вопросы","Формулирование вопросов, которые помогают глубже понять проблему",0.5
"Автоматизировать документооборот","Интеграция системы документооборота",0.7
"Синтезирует новое содержание и рефлексивн","Разрабатывать новые функции ПО",0.3
"Формировать отчеты","Создание аналитических отчетов для руководства на основе данных 1С:ERP",0.2
"Обеспечивать кросс-браузерность","Тестирование и адаптация кода под разные браузеры",0.6
"Оптимизировать набор тест-кейсов","Удаление дублирующих, устаревших тестов",0.6
"Управлять своим временем","Соблюдать дедлайны проектов",0.4
"Создавать use-case диаграммы","Описание функциональных требований через акторов и случаи использования",0.6
"Работать в условиях многозадачности","Выполнение нескольких задач одновременно",0.9
"Создавать Use Cases","Описание взаимодействия пользователя с системой через сценарии использования",0.8
"Планировать выполнение работ по макету","Ставить сроки для дизайна",0.6
"Документировать изменения","Фиксация оптимизаций и их влияния на систему",0.3
"Обрабатывать неструктурированные данные","Очистка и нормализация текста токенизация, лемматизация",0.7
"Проектирует решение задачи с учетом норм и ресурсов","Оптимизировать код в рамках бюджета",0.5
"Распределять задачи внутри команды","Определение ролей и обязанностей для каждого участника",0.7
"Использовать базовые конструкции языка","Применение переменных, циклов, условий и функций в решении задач",0.8
"Анализировать аудиторию","Выбор подходящих типов визуализации для целевой аудитории",0.5
"Выполнять этапы последовательно","Строгая последовательность выполнения этапов без возврата к предыдущим",1.0
"Проектировать архитектуру системы","Разработка структуры и интеграции модулей информационной системы",0.8
"Интегрировать PostgreSQL с приложениями","Подключение базы данных к backend-приложениям Python, Java, PHP",0.3
"Создавать сценарии нагрузки","Моделирование пользовательских действий для проверки системы под нагрузкой",0.8
"Проводить анализ требований","Использование инструментов управления требованиями Jira, Confluence",0.5
"Анализировать профилирование кода","Использование инструментов например, Profiler для выявления проблем",1.0
"Читать профессиональную литературу","Понимание технической документации, статей, руководств на английском",0.6
"Разрабатывать диаграммы развертывания","Описание физической архитектуры системы серверы, устройства",0.3
"Обеспечивать удобство использования usability","Оптимизация интерфейсов для минимизации когнитивной нагрузки",0.5
"Использовать очереди задач","Реализация очередей для управления задачами",0.8
"Устанавливать серверное ПО","Использование скриптов автоматизации для установки серверного ПО",0.4
"Внедрять программное обеспечение","Устанавливать и кофигурировать программное обеспечение ",0.8
"Обязательно знание SQL","Использование инструментов администрирования баз данных phpMyAdmin, pgAdmin",0.2
"Выполнять базовую токенизацию","Разделение текста на слова, символы, предложения",0.9
"Обеспечивать информационную безопасность АСУ","Внедрение мер защиты данных и предотвращение несанкционированного доступа",0.5
"Интерпретировать результаты токенизации","Анализ корректности разбиения текста",0.5
"Работать с Product Backlog","Формирование, приоритизация и уточнение задач в бэклоге продукта",0.7
"Покрывать функциональность тестами","Создание тест-кейсов для всех основных функций системы",0.6
"Организовывать рабочее место","Настраивать CI/CD процессы",0.0
"Обрабатывать специальные символы","Учет пунктуации, пробелов и эмодзи при разбиении текста",0.8
"Осуществлять коммуникацию на государственном языке","Вести переговоры с клиентами",0.7
"Внедрять системы в эксплуатацию","Обучение пользователей и поддержка при переходе на новую систему",0.5
"Применение JavaScript","Анимимация и раскадровка",0.0
"Адаптировать интерфейсы под разные устройства","Создание адаптивных дизайнов для iPhone, iPad",0.2
"Избегать прокрастинации","Применение техник для повышения продуктивности",0.8
"Оптимизировать набор тест-кейсов","Удаление дублирующих, ненужных тестов",0.2
"Охватывать все требования","Убедиться, что тест-кейсы покрывают все функциональные и нефункциональные требования",0.7
"Проверять согласованность требований","Убедиться, что требования не противоречат друг другу",0.8
"Планировать этапы разработки","Определение целей, задач и сроков для каждого этапа SDLC",0.9
"Оценивать технические риски","Анализ вероятности сбоев в работе ПО, оборудования, инфраструктуры",0.6
"Анализировать требования к ПО","Формализация и управление требованиями заказчика",0.3
"Применение численных методов","Использование численных методов для решения дифференциальных уравнений и оптимизационных задач",0.9
"Выявлять узкие места","Поиск проблем в системе, возникающих при высокой нагрузке",0.6
"Оптимизировать затраты на облачные сервисы","Мониторинг и оптимизация расходов на использование ресурсов",0.6
"Разрабатывать стандарты операционной деятельности","Создание регламентов и инструкций для сотрудников",0.5
"Обеспечивать поддержку и сопровождение","Исправление ошибок и доработка функционала после выпуска",1.0
"Контролировать сроки","Мониторинг выполнения задач и соблюдение дедлайнов",0.8
"Критически оценивать свои действия","Рефлексия над собственными решениями и их последствиями",0.2
"Внедрять программное обеспечение","Деплой приложения в рабочую среду",0.8
"Документировать риски и решения","Фиксация всех выявленных рисков и принятых мер для будущего анализа",0.5
"Математическое моделирование","Построение и верификация моделей с использованием реальных данных",0.0
"Читать документацию","Изучение официальной документации Python и библиотек для решения задач",0.5
"Разрабатывать многопоточные приложения","Использование потоков и синхронизации для параллельных задач",0.4
"Интегрировать сторонние библиотеки","Подключение и настройка сторонних инструментов",0.4
"Описывать функциональность системы","Четкое определение действий, которые система должна выполнять",0.9
"Планировать этапы разработки","Четкое определение последовательности этапов: анализ, проектирование, реализация, тестирование",0.9
"Создавать UML-диаграммы","Моделирование классов, последовательностей и активностей",0.6
"Обучать клиентов использованию продукта","Проведение инструктажей, демонстраций функционала",1.0
"Оценивать риски проекта","Анализ возможных угроз и их влияния на реализацию проекта",0.5
"Разрабатывать дашборды","Создание интерактивных панелей в Tableau, Power BI, Google Data Studio",0.7
"Обрабатывать большие объемы текстовых данных","Использование Big Data инструментов для анализа текстов",0.7
"Использовать NoSQL базы данных","Работа с MongoDB, Redis, Cassandra",0.6
"Создавать BPMN-диаграммы","Моделирование бизнес-процессов в нотации BPMN для их визуализации",1.0
"Разрабатывать стратегию цифровой трансформации","Создание плана перехода на цифровые технологии",0.6
"Оптимизировать базы данных","Написание эффективных SQL-запросов и индексация таблиц для повышения производительности",0.6
"Защищать от кибератак","Настройка брандмауэров, антивирусов и систем обнаружения вторжений IDS",0.7
"Трансформировать аналоговые процессы в цифровые","Перевод бумажных документов и процессов в электронный формат",0.8
"Адаптировать идеи под ограничения","Нахождение баланса между креативностью и реальными условиями",0.2
"Дифференциальные уравнения","Моделирование динамических систем",0.3
"Интегрировать API с системами","Подключение внешних сервисов через API для обмена данными",0.5
"Использовать профессиональный словарь","Применение терминологии, связанной с вашей областью деятельности",0.5
"Экспериментировать с решениями","Тестирование новых идей без страха ошибок",0.7
"Проводить ретроспективы","Анализ завершенных спринтов для выявления улучшений",0.5
"Проектировать визуальные элементы","Создание кнопок, меню, форм и других интерактивных компонентов",0.9
"Обсуждать задачи с аналитиками","Координация действий команды разработки на основе данных, предоставленных аналитиками",0.8
"Анализировать требования","Оценка полноты, согласованности и реализуемости требований",0.6
"Аэродинамика","Организация корпоративных тренингов",0.0
"Тестировать на отказоустойчивость","Проверка системы на способность работать при сбоях, повышенной нагрузке",0.6
"Масштабировать приложения","Настройка автоматического масштабирования под нагрузку",0.3
"Сотрудничать с UX-дизайнерами","Координация работы над удобством и внешним видом интерфейса",0.2
"Тестировать backend-код","Написание  unit-тестов для проверки функционала",0.5
"Участвовать в совместном принятии решений","Вклад в обсуждение и поиск оптимальных решений",0.6
"Анализировать тренды","Использование актуальных тенденций в разработке новых концепций",1.0
"Проектировать архитектуру микросервисов","Разделение монолитного приложения на независимые сервисы",0.8
"Управлять версиями ПО","Использование Git для контроля изменений в коде",0.9
"Управлять изменениями строго","Минимизация изменений в требованиях после начала разработки",0.5
"Оценивать риски проекта","Анализ потенциальных угроз и разработка мер по их минимизации",0.5
"Вдохновлять других на творчество","Поддержка команды в поиске креативных решений",0.3
"Проектировать архитектуру АСУ","Разработка структуры системы для автоматизации бизнес-процессов",0.7
"Учитывает ролевые позиции участников","Согласовывать задачи с аналитиками",0.2
"Тестировать UX-решения","Проведение тестирования и анализ результатов для улучшения интерфейсов",0.7
"Внедрять ERP-системы","Настройка и интеграция системы под бизнес-процессы компании",0.6
"Решать задачи динамического программирования","Разработка алгоритмов с использованием кэширования результатов",1.0
"Обучаться новым инструментам","Освоение базовых инструментов анализа данных и проектирования",0.3
"Работать с библиотеками машинного обучения ML","Использование Scikit-learn, TensorFlow, PyTorch, Keras для построения моделей",0.8
"Бережно относиться к традициям","Разрабатывать AI-решения",0.0
"Тестировать выполнение требований","Проверка соответствия готового продукта изначальным требованиям",0.5
"Обрабатывать HTTP-запросы","Реализация обработки GET, POST и других методов в API",0.5
"Планировать меры по снижению рисков","Разработка стратегий для предотвращения, минимизации рисков",0.8
"Управлять складскими запасами","Оптимизация логистики и минимизация издержек хранения",0.0
"Визуализировать идеи","Перевод абстрактных концепций в понятные схемы, эскизы, прототипы",0.4
"Контролировать KPI процессов","Мониторинг ключевых показателей для оценки эффективности",1.0
"Обрабатывать формы и данные","Валидация и безопасная обработка пользовательского ввода",0.6
"Обучать нейронные сети","Создание и настройка глубоких нейронных сетей для  задач",1.0
"Осуществлять автоматическое тестирование","Знаком с концепцией автоматического тестирования",0.4
"Проводит критический анализ различных источников информации","Проверять качество технической документации",0.6
"Проектировать базы данных","Создание нормализованных структур таблиц и связей",0.8
"Обучать команду Scrum-практикам","Повышение осведомленности о принципах и ценностях Scrum",0.1
"Осуществлять поиск и анализ информации","Изучать технические требования",0.8
"Работать с обработкой естественного языка NLP","Создание моделей для перевода текста, чат-ботов, анализа тональности",0.4
"Документировать разработку","Создание технической документации для разработчиков и пользователей",0.7
"Работать с многопоточностью","Создание многопоточных приложений с использованием POSIX Threads",0.4
"Проводить юзабилити-тестирование","Оценка удобства интерфейса через тесты",0.9
"Оценивать вероятность рисков","Анализ частоты возникновения каждого риска",0.5
"Писать чистый и поддерживаемый код","Соблюдение принципов clean code и использование паттернов проектирования",0.8
"Определять оптимальное количество кластеров","Применение метрик оценивания качества моделей машинного обучения",0.4
"Оптимизировать производительность приложений","Поиск узких мест и улучшение скорости работы программы",0.6
"Администратор баз данных","Миграция данных между различными СУБД и версиями баз данных",0.6
"Оптимизировать процессы в 1С:ERP","Улучшение производительности и автоматизация задач",0.6
"Выбирать подходящие системы","Сравнение решений под требования компании",0.6
"Планировать предпринимательскую деятельность","Разрабатывать бизнес-план стартапа",0.6
"Формулировать пред- и постусловия","Описание состояния системы до и после выполнения сценария",0.8
"Оценивать вклад участников","Признание заслуг других и конструктивная обратная связь",0.4
"Необходим специалист по кибербезопасности.","Требуется администратор баз данных.",0.2
"Общаться на бытовые темы","Ведение разговора на повседневные темы с коллегами, клиентами",0.9
"Читать невербальные сигналы","Восприятие жестов, мимики и интонаций собеседника",0.5
"Реагировать на инциденты","Устранение последствий утечек данных и восстановление системы",0.2
"Координировать действия с коллегами","Синхронизация усилий для достижения общей цели",0.8
"Поддерживать позитивную атмосферу","Создание комфортной среды для продуктивной работы",0.8
"Писать простой код","Создание базовых программ с использованием циклов, условий и функций",0.8
"Переносить локальную инфраструктуру в облако","Миграция данных и приложений из локальной среды в облачную",0.7
"Поддерживать дисциплину в группе","Соблюдение сроков и стандартов работы всей командой",0.1
"Анализировать прошлые проекты","Изучение ошибок и успехов для улучшения анализа рисков в будущем",0.1
"Учитывать юридические и нормативные требования","Соблюдение стандартов и законодательства",0.5
"Тестировать масштабируемость","Проверка способности системы работать при увеличении числа пользователей",0.6
"Приоритизировать риски","Ранжирование рисков по уровню критичности",1.0
"Требуется разработчик мобильных приложений.","Ищем дизайнера пользовательских интерфейсов.",0.1
"Управлять версиями кода","Эффективная работа с Git для контроля изменений и совместной разработки",0.7
"Проектировать хранилища данных","Создание систем для аналитики больших объемов данных",0.5
"Тестировать код","Написание unit-тестов для проверки корректности работы программы",0.8
"Настраивать шифрование данных","Обеспечение сквозного шифрования данных в базах данных, сетях и облачных хранилищах",0.9
"Снижать использование ресурсов","Оптимизация потребления памяти, CPU и дискового пространства",0.8
"Термодинамика","Знание основ бухгалтерского учета",0.0
"Разрабатывать политики безопасности","Создание правил и процедур для обеспечения информационной безопасности",1.0
"Настраивать автоматизацию процессов","Создание триггеров, шаблонов и автоматических рассылок",0.6
"Работать с инструментами управления тестами","Организация тест-кейсов",0.8
"Работать с фреймворками для frontend и backend","Использование React, Angular, Vue.js для frontend и Node.js, Django, Flask для backend",0.8
"Документировать свои проекты","Описание кода и создание README-файлов для своих работ",0.4
"Переводить тексты","Выполнение базового перевода документов, материалов",0.4
"Контролирует план работы","Следить за дедлайнами релизов",0.8
"Организовывать Scrum-процессы","Проведение планирования, дейли-митингов, ревью и ретроспектив",0.8
"Обрабатывать данные для обучения","Предобработка изображений, текстов",0.6
"Управлять Docker-сетями","Настройка взаимодействия между контейнерами через сети",0.5
"Выявляет соотношение части и целого в системе","Проектировать архитектуру микросервисов",0.1
"Определять последствия рисков","Оценка влияния рисков на проект, бизнес, систему",0.7
"Вакансия: преподаватель информатики.","Ищем учителя программирования для школы.",0.8
"Учитывать граничные условия","Тестирование работы системы на предельных значениях входных данных",1.0
"Использовать Docker Compose","Описание много контейнерных приложений в файле docker-compose",0.8
"Осуществляет коммуникацию на иностранном языке","Общаться с зарубежными клиентами",0.8
"Автоматизировать производственные процессы","Использование SCADA-систем и промышленной автоматизации",0.5
"Обеспечивать миграцию данных","Перенос данных из старых систем в новую без потерь и ошибок",0.8
"Тестировать асинхронный код","Написание тестов для проверки работы асинхронных функций",0.8
"Использовать структуры данных","Применение массивов, списков, деревьев, графов и хэш-таблиц",0.7
"Строить диаграммы активностей","Визуализация бизнес-процессов, алгоритмов",0.8
"Администрировать PostgreSQL","Настройка пользователей, ролей и прав доступа к базе данных",0.7
"Определять потребности в оборудовании","Подбирать технику для печати",0.5
"Понимать устную речь на английском языке","Восприятие информации из подкастов, видео, живой речи на английском языке",1.0
"Обеспечивать поддержку ERP","Устранение неполадок и обновление функционала системы",0.1
"Собирать требования у заказчиков","Проведение интервью и составление списка потребностей клиента",0.6
"Выполнять задачи в условиях жестких дедлайнов","Соблюдение сроков разработи проекта",0.7
"Взаимодействовать с разработчиками","Передача макетов и контроль их реализации на этапе разработки",0.3
"Использовать инструменты для UML","Работа с Enterprise Architect, Lucidchart, Draw.io, Visual Paradigm",0.7
"Настраивать и кастомизировать ПО","Адаптация системы под специфику бизнес-процессов",1.0
"Выявлять граничные условия","Тестирование системы на предельных значениях входных данных",0.6
"Оптимизировать гиперпараметры","Настройка параметров для улучшения модели",1.0
"Настраивать учетные операции","Автоматизация финансового, управленческого и складского учета",0.7
"Оптимизировать базы данных","Настройка индексов, запросов и схем для улучшения работы с данными",0.5
"Общаться в письменной форме","Написание четких и грамотных писем, отчетов, сообщений",0.7
"Оптимизировать процессы разработки","Использование Agile, Scrum, Kanban при разработке",0.5
"Работать с алгоритмами и структурами данных","Выбор оптимальных алгоритмов и структур для задачи",0.6
"Управлять спринтами","Планирование, выполнение и завершение итераций спринтов",1.0
"Выполнять согласование с заказчиком","Утверждать требовани с клиентом",0.8
"Интегрировать информационные системы","Объединение различных систем для совместной работы",0.1
"Изучать языки программирования","Освоение базовых конструкций Python, JavaScript, C++",0.6
"Оптимизировать интерфейс для разных устройств","Адаптация дизайна под мобильные, планшеты и десктопы",0.8
"Управлять базой данных клиентов","Очистка, сегментация и обновление информации о клиентах",0.5
"Разрабатывать логическую модель данных","Описание данных без привязки к конкретной СУБД",1.0
"Определять масштабируемость","Указание способности системы работать при увеличении нагрузки",0.6
"Начальная разработка приложения","Создание минимально жизнеспособного продукта MVP",0.7
"Физика полупроводников","Опыт работы с CRM-системами",0.0
"Шифровать данные","Использование алгоритмов шифрования AES, RSA для защиты информации",0.7
"Разработчик мобильных приложений","Создание кроссплатформенных мобильных приложений",1.0
"Тестировать сценарии рисков","Проведение симуляций, анализ «что, если» для оценки уязвимостей",0.5
"Тестировать функционал АСУ","Проверка корректности работы системы на всех этапах внедрения",0.6
"Оценивать вероятность и влияние рисков","Анализ вероятности возникновения и последствий каждого риска",0.6
"Поддерживать дисциплину в группе","Соблюдение сроков и стандартов работы всей командой",0.1
"Использовать машинное обучение","Применение алгоритмов ML для прогнозирования и анализа данных",0.6
"Документировать облачные архитектуры","Создание схем и описаний облачных решений для команды",0.3
"Поддерживать отказоустойчивость","Настройка резервного копирования и аварийного восстановления",0.1
"Формулировать выводы","Подготовка отчетов и рекомендаций на основе анализа данных",0.2
