sentence1,sentence2,label
"Использовать информационно-коммуникационные технологии в профессиональной деятельности","Настраивать и поддерживать работу CRM-систем для учета пациентов",0.5
"Соблюдать правила использования аппаратуры, оборудования и изделий медицинского назначения в ходе лечебно-диагностического процесса","Проводить тестирование и контроль качества программного обеспечения",0.1
"Способен осуществлять социальное взаимодействие и реализовывать свою роль в команде","Участвовать в планировании и реализации IT-проектов в составе команды разработчиков",0.7
"Способен разрабатывать алгоритмы и программы, пригодные для практического применения","Требуется разработка ПО для анализа данных",0.6
"Оказывать доврачебную помощь при неотложных состояниях","Обеспечивать техподдержку оборудования",0.0
"Использовать ИКТ в профессиональной деятельности","Настраивать CRM-системы",0.4
"Соблюдать правила использования медоборудования","Тестировать ПО",0.0
"Взаимодействовать с командой","Участвовать в IT-проектах в команде",0.8
"Проводить санитарно-гигиеническое воспитание","Разрабатывать мобильные приложения",0.0
"Осуществлять лечебно-диагностические вмешательства","Администрировать серверы",0.0
"Применять медикаментозные средства","Оптимизировать базы данных",0.0
"Вести медицинскую документацию","Готовить техническую документацию",0.4
"Оказывать паллиативную помощь","Проводить тестирование интерфейсов",0.0
"Эффективно общаться с пациентом","Взаимодействовать с заказчиками проектов",0.4
"Соблюдать профессиональную этику","Следовать корпоративным стандартам",0.5
"Осуществлять уход за пациентами","Обслуживать серверное оборудование",0.0
"Консультировать по уходу и самоуходу","Консультировать по использованию ПО",0.5
"Оформлять медицинскую документацию","Автоматизировать документооборот",0.4
"Соблюдать санитарный режим","Обеспечивать кибербезопасность",0.1
"Понимать значимость профессии","Анализировать рынок IT-услуг",0.0
"Принимать решения в нестандартных ситуациях","Решать инциденты в IT-системах",0.7
"Использовать ИКТ","Разрабатывать веб-приложения",0.5
"Работать в команде","Координировать разработчиков",0.6
"Заниматься самообразованием","Изучать новые технологии",0.2
"Ориентироваться в смене технологий","Поддерживать legacy-системы",0.2
"Бережно относиться к традициям","Разрабатывать AI-решения",0.0
"Организовывать рабочее место","Настраивать CI/CD процессы",0.0
"Вести здоровый образ жизни","Оптимизировать рабочие процессы",0.0
"Анализировать и синтезировать информацию","Проводить анализ требований",0.6
"Определять задачи в рамках цели","Ставить задачи команде разработчиков",0.6
"Осуществлять коммуникацию на русском","Вести переписку с клиентами",0.7
"Учитывать мультикультурность","Адаптировать ПО под рынки",0.4
"Управлять своим временем","Планировать спринты в проектах",0.6
"Способен разрабатывать алгоритмы и программы","Писать код для backend-систем",0.6
"Использовать ИКТ в профессиональной деятельности","Настраивать облачные сервисы",0.4
"Осуществлять поиск и анализ информации","Изучать технические требования",0.7
"Принимать решения в нестандартных ситуациях","Устранять сбои в IT-системах",0.7
"Работать в команде","Координировать разработку ПО",0.6
"Способен инсталлировать ПО и оборудование","Устанавливать серверное ПО",0.8
"Анализировать организационно-технические процессы","Оптимизировать DevOps-процессы",0.5
"Разрабатывать техническую документацию","Писать спецификации для API",0.7
"Осуществлять программирование и тестирование","Проводить юнит-тесты",0.7
"Управлять проектами создания ИС","Вести проекты по Scrum",0.7
"Понимать принципы работы IT-технологий","Настраивать микросервисы",0.3
"Заниматься самообразованием","Изучать новые фреймворки",0.8
"Ориентироваться в смене технологий","Мигрировать системы на новые платформы",0.4
"Применять методы математического анализа","Моделировать данные в Python",0.6
"Организовывать собственную деятельность","Планировать задачи в Jira",0.6
"Соблюдать требования информационной безопасности","Настраивать шифрование данных",0.6
"Способен анализировать рынок IT-услуг","Исследовать тренды технологий",0.6
"Взаимодействовать с проектными группами","Обсуждать задачи с аналитиками",0.7
"Применять системный подход","Проектировать архитектуру ПО",0.6
"Осуществлять коммуникацию на русском","Вести техподдержку пользователей",0.4
"Управлять своим временем","Соблюдать дедлайны проектов",0.7
"Способен разрабатывать алгоритмы","Оптимизировать SQL-запросы",0.5
"Использовать ИКТ","Автоматизировать тестирование",0.4
"Понимать принципы инклюзии","Адаптировать интерфейсы для доступности",0.3
"Принимать экономические решения","Оценивать стоимость разработки",0.6
"Способен участвовать в разработке стандартов","Создавать код-ревью гайдлайны",0.5
"Анализировать и синтезировать информацию","Собирать требования к ПО",0.7
"Осуществлять тестирование ИС","Проверять качество релизов",0.8
"Способен планировать проектные цели","Определять этапы разработки",0.7
"Осуществляет поиск информации, необходимой для решения задачи","Собирать данные для анализа требований",0.8
"Проводит критический анализ различных источников информации","Проверять качество технической документации",0.6
"Выявляет соотношение части и целого в системе","Проектировать архитектуру микросервисов",0.4
"Синтезирует новое содержание и рефлексивн","Разрабатывать новые функции ПО",0.3
"Формулирует взаимосвязанные задачи для достижения цели","Ставить задачи команде разработчиков",0.6
"Проектирует решение задачи с учетом норм и ресурсов","Оптимизировать код в рамках бюджета",0.5
"Решает задачи за установленное время","Соблюдать сроки релиза ПО",0.8
"Определяет свою роль в команде","Координировать работу тестировщиков",0.4
"Учитывает ролевые позиции участников","Согласовывать задачи с аналитиками",0.6
"Понимает принципы групповой динамики","Проводить ретроспективы",0.2
"Осуществляет коммуникацию на русском с ИКТ","Вести переписку в Slack",0.7
"Осуществляет коммуникацию на иностранном языке","Общаться с зарубежными клиентами",0.8
"Учитывает мультикультурность при взаимодействии","Адаптировать ПО для разных регионов",0.4
"Планирует цели с учетом ограничений","Определять roadmap проекта",0.7
"Поддерживает физическую подготовленность","Оптимизировать рабочий график",0.1
"Обеспечивает безопасность жизнедеятельности","Внедрять защиту от кибератак",0.1
"Выбирает стратегию коммуникации с учетом инклюзии","Тестировать доступность интерфейсов",0.2
"Применяет методы финансового планирования","Оценивать бюджет разработки",0.7
"Выявляет признаки коррупции","Контролировать лицензии ПО",0.1
"Использует естественнонаучные знания","Моделировать данные в Python",0.2
"Учитывает информационную безопасность","Шифровать данные",0.6
"Разрабатывает техническую документацию","Писать API-спецификации",0.7
"Инсталлирует ПО и оборудование","Разворачивать Docker-контейнеры",0.7
"Проводит системный анализ","Анализировать требования к ПО",0.7
"Разрабатывает алгоритмы и программы","Оптимизировать SQL-запросы",0.6
"Обладает знаниями управления проектами","Вести проекты по Agile",0.8
"Оптимизировать производительность","Анализ и улучшение скорости работы программ на низком уровне",0.8
"Кодирует и тестирует ИС","Проводить юнит-тесты",0.7
"Контролирует план работы","Следить за дедлайнами релизов",0.7
"Способен применять естественнонаучные и общеинженерные знания","Моделировать данные для AI-систем",0.5
"Способен понимать принципы работы IT-технологий","Настраивать серверы на Linux",0.3
"Способен решать задачи с применением ИКТ","Автоматизировать тестирование ПО",0.5
"Способен участвовать в разработке стандартов","Писать гайдлайны для кода",0.6
"Способен инсталлировать ПО и оборудование","Устанавливать сетевые маршрутизаторы",0.7
"Способен разрабатывать бизнес-планы на оснащение","Оценивать затраты на серверы",0.6
"Способен разрабатывать алгоритмы и программы","Писать скрипты на Python",0.7
"Способен осваивать методики использования ПО","Изучать инструменты DevOps",0.7
"Способен заниматься разработкой ПО","Кодировать backend-приложения",0.8
"Способен осуществлять поиск и анализ информации","Собирать требования к проекту",0.7
"Способен определять задачи и способы их решения","Планировать этапы разработки",0.6
"Способен осуществлять социальное взаимодействие","Работать в Scrum-команде",0.5
"Способен осуществлять деловую коммуникацию","Вести переписку с клиентами",0.7
"Способен воспринимать межкультурное разнообразие","Адаптировать ПО для рынков",0.5
"Способен управлять своим временем","Соблюдать дедлайны спринтов",0.8
"Способен поддерживать физическую подготовленность","Оптимизировать рабочий график",0.1
"Способен формировать нетерпимость к коррупции","Контролировать закупки ПО",0.1
"Способен применять методы моделирования","Анализировать производительность БД",0.4
"Способен понимать принципы работы ПО","Оптимизировать работу CRM",0.3
"Способен решать задачи с учетом безопасности","Шифровать сетевой трафик",0.5
"Способен разрабатывать техдокументацию","Создавать схемы архитектуры",0.7
"Способен разрабатывать алгоритмы","Реализовывать парсеры данных",0.5
"Способен осуществлять коммуникацию на иностранном языке","Общаться с техподдержкой вендоров",0.7
"Способен управлять траекторией саморазвития","Изучать новые фреймворки",0.7
"Выбирать способы решения задач профессиональной деятельности","Определять подход к разработке ПО",0.8
"Осуществлять поиск, анализ и интерпретацию информации","Собирать данные",0.6
"Планировать и реализовывать профессиональное развитие","Изучать новые дизайн-тренды",0.5
"Работать в коллективе и команде","Сотрудничать с разработчиками UI",0.5
"Осуществлять коммуникацию на государственном языке","Вести переговоры с клиентами",0.6
"Проявлять гражданско-патриотическую позицию","Продвигать локальные IT-продукты",0.4
"Содействовать сохранению окружающей среды","Оптимизировать энергопотребление ПО",0.3
"Использовать средства физической культуры","Поддерживать режим для продуктивности",0.3
"Использовать информационные технологии","Применять Figma для прототипов",0.5
"Пользоваться профессиональной документацией","Читать спецификации API",0.7
"Планировать предпринимательскую деятельность","Разрабатывать бизнес-план стартапа",0.8
"Осуществлять сбор и анализ данных для ТЗ","Анализировать требования к дизайну",0.6
"Определять выбор технических средств для макета","Выбирать софт для рендеринга",0.7
"Формировать готовое техническое задание","Составлять ТЗ для интерфейса",0.8
"Выполнять согласование с заказчиком","Утверждать макет с клиентом",0.9
"Планировать выполнение работ по макету","Ставить сроки для дизайна",0.6
"Определять потребности в оборудовании","Подбирать технику для печати",0.6
"Разрабатывать дизайн-макет на основе ТЗ","Создавать UI для приложения",0.5
"Осуществлять защиту дизайн-макета","Презентовать прототип заказчику",0.7
"Комплектация составляющих дизайн-макета","Собирать assets для продукта",0.5
"Выполнять настройку параметров печати","Калибровать цвета для вывода",0.8
"Оценивать соответствие требованиям качества","Проверять DPI макета",0.6
"Осуществлять сопровождение печати","Контролировать процесс публикации",0.6
"Анализировать тенденции в графическом дизайне","Изучать тренды UX/UI",0.7
"Проводить мастер-классы по технологиям дизайна","Обучать коллег работе в Adobe",0.6
"Разрабатывать предложения по новым технологиям","Внедрять AI в дизайн-процесс",0.5
"Выбирать способы решения задач","Оптимизировать рендеринг графики",0.3
"Планировать профессиональное развитие","Проходить курсы по 3D-дизайну",0.5
"Работать в команде","Координировать с backend-разработчиками",0.5
"Использовать IT в деятельности","Применять Blender для анимации",0.4
"Применение численных методов","Отсутствие опыта или знаний в области применения численных методов",0.0
"Разработка и проектирование программных систем","Опыт разработки backend-приложений на Python",0.7
"Знание основ электротехники и электроники","Умение читать электрические схемы",0.9
"Изучение принципов работы компьютерных сетей","Опыт администрирования Cisco-сетей",0.6
"Математическое моделирование процессов","Навыки анализа данных в MATLAB",0.6
"Основы программирования на C++","Опыт разработки embedded-систем",0.5
"Теория автоматического управления","Знание SCADA-систем",0.6
"Инженерная графика и черчение","Умение работать в AutoCAD",0.8
"Цифровая обработка сигналов","Опыт работы с DSP-процессорами",0.7
"Физика полупроводников","Понимание принципов работы транзисторов",0.9
"Базы данных и SQL","Опыт работы с PostgreSQL",0.7
"Теоретическая механика","Создание контента для социальных сетей",0.0
"Математический анализ","Управление командой продаж",0.0
"Физика полупроводников","Опыт работы с CRM-системами",0.1
"Электротехника и электроника","Разработка стратегии продвижения",0.1
"Теория автоматического управления","Навыки копирайтинга",0.1
"Численные методы","Знание основ маркетинга",0.1
"Инженерная графика","Организация мероприятий",0.1
"Материаловедение","Умение работать с таблицами Excel",0.1
"Цифровая обработка сигналов","Навыки холодных звонков",0.0
"Теплотехника","Знание основ психологии общения",0.0
"Сопротивление материалов","Написание новостных статей",0.1
"Основы программирования на C++","Управление проектами в Jira",0.1
"Квантовая механика","Работа с базами данных клиентов",0.1
"Теория вероятностей","Создание презентаций для руководства",0.1
"Электромагнетизм","Опыт работы с графическими редакторами",0.1
"Строительная механика","Навыки ведения деловой переписки",0.1
"Аэродинамика","Организация корпоративных тренингов",0.1
"Термодинамика","Знание основ бухгалтерского учета",0.1
"Дифференциальные уравнения","Умение работать с документооборотом",0.1
"Программирование на Python","Опыт работы с SQL-запросами",0.3
"Теория вероятностей","Анализ данных в Excel",0.3
"Электротехника и электроника","Знание основ автоматизации процессов",0.4
"Цифровая обработка сигналов","Опыт работы с аудио- или видеоданными",0.7
"Инженерная графика","Работа с 3D-моделированием в Blender",0.5
"Основы программирования на C++","Навыки разработки на Java",0.6
"Математическое моделирование","Умение работать с бизнес-аналитикй",0.4
"Теплотехника","Проектирование систем кондиционирования",0.6
"Сопротивление материалов","Опыт расчета нагрузок в строительстве",0.6
"Теория автоматического управления","Знание принципов IoT",0.7
"Физика полупроводников","Понимание принципов работы FPGA",0.5
"Численные методы","Оптимизация алгоритмов в MATLAB",0.6
"Гидравлика","Проектирование трубопроводных систем",0.6
"Материаловедение","Опыт работы с композитными материалами",0.6
"Теория информации","Разработка протоколов передачи данных",0.7
"Строительная механика","Опыт работы с САПР для строительства",0.6
"Дифференциальные уравнения","Моделирование динамических систем",0.7
"Квантовая механика","Опыт работы с квантовыми вычислениями",0.6
"Электромагнетизм","Понимание принципов работы радиочастотных систем",0.7
"Аэродинамика","Оптимизация конструкций летательных аппаратов",0.7
"Курс предназначен для начинающих программистов.","Программа ориентирована на продвинутых специалистов.",0.4
"Требуется инженер-программист со знанием Python.","Ищем разработчика с опытом работы в Python.",0.8
"Необходим специалист по машинному обучению.","Требуется эксперт в области анализа данных.",0.5
"Вакансия: преподаватель информатики.","Ищем учителя программирования для школы.",0.6
"Требуется опытный Java-разработчик.","Ищем junior-программиста на Java.",0.4
"Необходим специалист по кибербезопасности.","Требуется администратор баз данных.",0.2
"Программа обучения включает изучение алгоритмов.","Курс рассчитан на студентов, интересующихся искусственным интеллектом.",0.5
"Выявляет признаки коррупции","Контролировать лицензии ПО",0.1
"Использует естественнонаучные знания","Моделировать данные в Python",0.2
"Учитывает информационную безопасность","Шифровать данные",0.6
"Разрабатывает техническую документацию","Писать API-спецификации",0.7
"Инсталлирует ПО и оборудование","Разворачивать Docker-контейнеры",0.7
"Проводит системный анализ","Анализировать требования к ПО",0.7
"Разрабатывает алгоритмы и программы","Оптимизировать SQL-запросы",0.6
"Обладает знаниями управления проектами","Вести проекты по Agile",0.7
"Кодирует и тестирует ИС","Проводить юнит-тесты",0.7
"Контролирует план работы","Следить за дедлайнами релизов",0.7
"Разработать веб-приложение на React.","Создать интерфейс для управления данными.",0.5
"Настроить сервер базы данных MySQL.","Оптимизировать запросы для повышения скорости.",0.4
"Провести тестирование безопасности сети.","Проверить уязвимости веб-сервера.",0.5
"Интегрировать API платежной системы.","Настроить обработку транзакций на backend.",0.6
"Автоматизировать развертывание через Docker.","Установить CI/CD для релизов.",0.5
"Создать скрипт для мониторинга ресурсов.","Настроить логирование системных событий.",0.3
"Оптимизировать производительность приложения.","Ускорить загрузку страниц сайта.",0.6
"Разработать документацию для ПО.","Подготовить инструкции для пользователей.",0.6
"Настроить облачное хранилище в AWS.","Перенести данные в S3-бакет.",0.6
"Провести анализ логов сервера.","Выявить причины перегрузки системы.",0.5
"Разработать новый отчет в 1С.","Настроить интеграцию с внешним API.",0.0
"Оптимизировать запросы к базе данных 1С.","Создать пользовательский интерфейс для мобильного приложения.",0.0
"Автоматизировать учет складских операций.","Разработать модуль для анализа данных в Excel.",0.0
"Настроить обмен данными между 1С и CRM.","Обучить сотрудников работе с системой.",0.0
"Исправить ошибки в конфигурации 1С.","Разработать веб-сервис для онлайн-заказов.",0.0
"Обновить типовую конфигурацию 1С.","Провести тестирование безопасности сети.",0.0
"Создать обработку для массового ввода данных.","Настроить серверное оборудование для 1С.",0.0
"Разработать печатную форму документа.","Интегрировать 1С с системой электронного документооборота.",0.1
"Перенести данные из старой версии 1С.","Оптимизировать сайт компании на WordPress.",0.0
"Настроить права доступа в 1С.","Разработать алгоритм машинного обучения.",0.0
"Разработать архитектуру облачного сервиса.","Настроить маршрутизатор для локальной сети.",0.0
"Оптимизировать алгоритмы машинного обучения.","Создать рекламную кампанию для IT-продукта.",0.0
"Обеспечить кибербезопасность корпоративной сети.","Разработать дизайн интерфейса мобильного приложения.",0.0
"Автоматизировать тестирование программного обеспечения.","Установить серверное оборудование в дата-центре.",0.0
"Интегрировать CRM-систему с сайтом компании.","Провести аудит устаревшего кода на Python.",0.0
"Настроить CI/CD для ускорения релизов.","Обучить команду основам Agile-методологии.",0.2
"Разработать backend на Node.js.","Мониторить производительность базы данных.",0.1
"Создать чат-бота для техподдержки.","Проанализировать рынок IT-услуг.",0.0
"Внедрить систему управления проектами.","Обновить прошивку сетевых устройств.",0.0
"Оптимизировать фронтенд веб-приложения.","Разработать стратегию резервного копирования данных.",0.0
"Разработать систему управления IoT-устройствами.","Провести юзабилити-тестирование сайта.",0.0
"Настроить виртуализацию серверов.","Создать анимацию для рекламного ролика IT-компании.",0.0
"Оптимизировать работу микросервисов.","Разработать документацию для API.",0.2
"Внедрить систему мониторинга логов.","Провести тренинг по кибергигиене для сотрудников.",0.0
"Создать парсер данных с веб-страниц.","Обеспечить соответствие GDPR для приложения.",0.0
"Разработать блокчейн-решение для транзакций.","Настроить балансировку нагрузки на сервере.",0.0
"Автоматизировать развертывание контейнеров Docker.","Проанализировать тренды в IT-индустрии.",0.0
"Интегрировать платежную систему в приложение.","Обновить драйверы для периферийных устройств.",0.0
"Создать нейросеть для обработки изображений.","Организовать миграцию данных в облако.",0.0
"Разработать плагин для системы управления контентом.","Провести стресс-тестирование сетевой инфраструктуры.",0.0
"Проектировать масштабируемую архитектуру ПО.","Автоматизировать сбор логов ошибок.",0.0
"Оптимизировать производительность алгоритмов.","Разработать руководство пользователя для программы.",0.0
"Реализовать многопоточность в приложении.","Провести рефакторинг устаревшего кода.",0.2
"Создать модуль для обработки больших данных.","Настроить систему контроля версий.",0.0
"Разработать REST API для сервиса.","Интегрировать стороннюю библиотеку аутентификации.",0.2
"Обеспечить кроссплатформенную совместимость ПО.","Провести нагрузочное тестирование приложения."0.1
"Внедрить паттерн проектирования MVC.","Сгенерировать тестовые данные для отладки.",0.0
"Разработать систему уведомлений в реальном времени.","Оптимизировать потребление памяти программы.",0.0
"Создать утилиту для парсинга JSON.","Проверить код на соответствие стандартам качества.",0.1
"Реализовать шифрование данных в приложении.","Настроить пайплайн для автоматической сборки.",0.0
"Проанализировать данные о трафике сайта.","Оценить конверсию рекламных каналов.",0.2
"Настроить скрипт для парсинга логов.","Провести фильтрацию данных по времени.",0.2
"Разработать дашборд с метриками продаж.","Подготовить таблицу с итогами за месяц.",0.3
"Провести статистический тест значимости.","Сравнить средние значения выборок.",0.4
"Оптимизировать загрузку данных в R.","Ускорить обработку запросов в PostgreSQL.",0.2
"Выявить сезонность в данных.","Построить график изменений за год.",0.3
"Создать модель кластеризации пользователей.","Разделить аудиторию по интересам.",0.4
"Оценить влияние факторов на прибыль.","Рассчитать коэффициенты корреляции.",0.3
"Настроить автоматический импорт CSV-файлов.","Проверить данные на дубликаты.",0.2
"Провести анализ удовлетворенности клиентов.","Собрать отзывы из анкет.",0.3
"Разработать модуль авторизации на PHP.","Реализовать вход через социальные сети.",0.3
"Оптимизировать алгоритм поиска в массиве.","Ускорить обработку запросов к серверу.",0.2
"Создать RESTful сервис на Java.","Настроить эндпоинты для клиентского приложения.",0.4
"Написать скрипт для парсинга HTML.","Извлечь данные из JSON-ответов.",0.1
"Реализовать адаптивный дизайн на CSS.","Обновить стили для мобильной версии.",0.4
"Провести ревью кода команды.","Проверить проект на баги.",0.3
"Интегрировать библиотеку для графиков.","Добавить визуализацию данных в интерфейс.",0.4
"Настроить автоматическую сборку через Gradle.","Оптимизировать зависимости в Maven.",0.2
"Разработать чат в реальном времени на WebSocket.","Реализовать уведомления через email.",0.1
"Создать функцию для валидации форм.","Проверить корректность ввода данных.",0.4
"Настроить VPN для удаленного доступа.","Обеспечить шифрование данных в сети.",0.3
"Разработать мобильное приложение на Flutter.","Оптимизировать backend на Django.",0.1
"Провести аудит безопасности сервера.","Обновить антивирусное ПО на рабочих станциях.",0.2
"Создать скрипт для автоматизации резервного копирования.","Настроить мониторинг дискового пространства.",0.2
"Интегрировать систему оплаты через Stripe.","Реализовать API для обработки транзакций.",0.4
"Обучить сотрудников основам SQL.","Разработать курс по Python для новичков.",0.2
"Настроить виртуальную машину в Azure.","Оптимизировать производительность AWS-инстанса.",0.2
"Создать чат-бота для поддержки пользователей.","Разработать базу знаний для FAQ.",0.3
"Провести тестирование нагрузки сайта.","Проанализировать лог-файлы сервера.",0.2
"Настроить кластер Hadoop для обработки данных.","Оптимизировать распределение задач в Spark.",0.3
"Разработать ETL-процесс для потоковых данных.","Создать конвейер обработки в Apache Kafka.",0.4
"Очистить большой набор данных от выбросов.","Провести нормализацию числовых значений.",0.3
"Реализовать модель машинного обучения в PySpark.","Визуализировать результаты в Databricks.",0.3
"Настроить хранилище данных в Snowflake.","Интегрировать данные из S3-бакета.",0.2
"Оптимизировать запросы к базе данных ClickHouse.","Ускорить агрегацию данных в Redshift.",0.3
"Создать скрипт для обработки логов в реальном времени.","Разработать дашборд для мониторинга потоков.",0.3
"Провести анализ больших данных с помощью Hive.","Извлечь выборку для тестирования гипотез.",0.2
"Настроить автоматическую загрузку данных в BigQuery.","Проверить целостность импортированных таблиц.",0.3
"Провести оценку рисков проекта.","Подготовить отчет о прогрессе для команды.",0.2
"Согласовать бюджет с заказчиком.","Определить ключевые этапы выполнения.",0.2
"Организовать ежедневные стендапы команды.","Обновить документацию по требованиям.",0.1
"Контролировать соблюдение сроков релиза.","Анализировать отклонения от графика.",0.4
"Распределить ресурсы между задачами.","Провести обучение по новым инструментам.",0.1
"Настроить систему отслеживания в Jira.","Создать шаблон для отчетности.",0.2
"Согласовать изменения в скоупе проекта.","Оценить влияние изменений на сроки.",0.4
"Провести ретроспективу после спринта.","Собрать обратную связь от стейкхолдеров.",0.3
"Разработать стратегию управления конфликтами.","Обеспечить коммуникацию между командами.",0.3
"Создать таблицу с данными в Excel.","Настроить автоматический расчет в ячейках.",0.3
"Настроить фильтры в таблице Excel.","Составить сводную таблицу для анализа.",0.2
"Подготовить шаблон письма в Outlook.","Организовать рассылку для группы контактов.",0.2
"Отформатировать отчет в Word.","Проверить текст на орфографию.",0.2
"Создать правило для сортировки писем в Outlook.","Настроить напоминания в календаре.",0.2
"Обеспечить резервное копирование данных.","Мониторить состояние дисков на сервере.",0.2
"Развернуть виртуальную машину в VMware.","Оптимизировать производительность Hyper-V.",0.2
"Настроить права доступа в Active Directory.","Создать учетные записи для новых пользователей.",0.4
"Интегрировать сервер с системой мониторинга.","Настроить уведомления о сбоях.",0.4
"Настроить автоматическое обновление ПО.","Провести инвентаризацию оборудования.",0.1
"Поддерживать работу системы","Устранение ошибок и обновление конфигурации",0.4
"Оптимизировать рабочие процессы","Внедрение изменений для повышения эффективности и снижения затрат",0.4
"Использует естественнонаучные знания","Моделировать данные в Python",0.2
"Необходим специалист по кибербезопасности.","Требуется администратор баз данных.",0.2
"Анализировать прошлые проекты","Изучение ошибок и успехов для улучшения управления рисками",0.4
"Готовить презентации на английском","Создание и представление контента для аудитории",0.4
"Формировать отчеты","Создание аналитических отчетов для руководства на основе данных 1С:ERP",0.3
"Обязательно знание SQL","Использование инструментов администрирования баз данных phpMyAdmin, pgAdmin",0.3
"Адаптировать интерфейсы под разные устройства","Создание адаптивных дизайнов для iPhone, iPad",0.4
"Оптимизировать набор тест-кейсов","Удаление дублирующих, ненужных тестов",0.4
"Критически оценивать свои действия","Рефлексия над собственными решениями и их последствиями",0.5
"Адаптировать идеи под ограничения","Нахождение баланса между креативностью и реальными условиями",0.4
"Сотрудничать с UX-дизайнерами","Координация работы над удобством и внешним видом интерфейса",0.4
"Учитывает ролевые позиции участников","Согласовывать задачи с аналитиками",0.3
"Необходим специалист по кибербезопасности.","Требуется администратор баз данных.",0.2
"Реагировать на инциденты","Устранение последствий утечек данных и восстановление системы",0.4
"Формулировать выводы","Подготовка отчетов и рекомендаций на основе анализа данных",0.2
"Документировать UX-решения","Фиксация выводов и рекомендаций по улучшению пользовательского опыта",0.4
"Использовать кластеризацию в машинном обучении","Подготовка данных для последующего анализа, обучения моделей",0.3
"Моделировать процессы","Создание математических и компьютерных моделей для прогнозирования",0.5
"Проектировать архитектуру внедрения","Создание плана внедрения ERP с учетом требований заказчика",0.4
"Документировать процессы","Создание технической документации для разработчиков и пользователей",0.5
"Улучшать UX на основе данных","Внедрение изменений на основе анализа поведения и отзывов пользователей",0.6
