sentence,label
"Дружный коллектив",1
"Своевременные выплаты заработной платы",1
"индексация заработной платы",1
"Работа в современном высокотехнологичном офисе",1
"Корпоративный ДМС и абонемент в фитнес",1
"Корпоративные команды по футболу, волейболу, марафонскому бегу, шахматам",1
"основана в 2011 году,",1
"Мы - команда людей, увлеченных своим делом",1
"Разрабатывать все стадии",0
"Составлять ведомости",0
"готовить текхническое задание",0
"выстративать коммуникацию",0
"Полная занятость",1
"является аккредитованной ИТ-компанией",1
"более лет занимается развитием",1
"Проектировать интерфейсы",0
"Оформление в соответствии с ТК РФ, белая ЗП;",1
"Формат работы - полная удаленка или гибрид;",1
"создание концепций",0
"разработка гайдов и брендбуков;",0
"знаете основы",0
"офис в центре города с бесплатной парковкой во дворе;",1
"лидирующая компания на рынке",1
"Вот уже 21 год мы УСПЕШНО работаем в более чем",1
"у компании имеется многолетний опыт в сфере",1
" является единственным поставщиком по предоставлению услуг",1
"Высшее профессиональное образование в области",0
"среднее профессиональное образование в",0
"Подарки на Новый год",1
"подраки на день рождение",1
"Центр строительных программ",1
"более  лет является",1
"наличие сертификатов",0
"знание методологии",0
"знание механизмов",0
"опыт работы в должности",0
"разработка решений на платформе",0
"решение различных задач в области",0
"корпоративные оздоровительные программы",1
"оплата проезда к месту отдыха и обратно",1
"корпоративный автобус по маршруту",1
"опыт разработок",0
"Участие в проекте внедрения",0
"Разработка и поддержка",0
"лидер рынка в области",1
"держим первое место на рынке",1
"Проектирование и разработка функционала",0
"Обеспечение технической поддержки",0
"Оклад + премия",1
"Возможность получения ИТ-ипотеки",1
"Работа в уютном и современном офисном здании",1
"Разработка и сопровождение",0
"Доработка существующих систем.",0
"Высшее образование по специальности",0
"Действующий сертификат",0
"Современное оборудование и комфортные условия работы",1
"Дружелюбный коллектив",1
"Сменный график",1
"График договорной",1
"ведущей сети премиальных клиник",1
"Наша история насчитывает  лет успеха и доверия!",1
"является монополистом в",1
"Действующий сертификат по специальности",0
"Уверенные навыки работы с",0
"Сменный график работы;",1
"Оформление по трудовому договору;",1
"сдельная оплата",1
"комфортные условия труда",1
"профессиональный и дружный коллектив",1
"веденеие документации",0
"опыт на данной должности",0
"интернатура/ординатура по специальности",0
"наличие действующего сертификата",0
"Наличие действующего сертификата",0
"Наличие действующего сертификата (аккредитации) по специальности",0
"региональная сеть из 24 офисов",1
"группа компаний реализует национальные проекты в",1
"льготное кредитоване",1
"вахтовый метод работы",1
"круглогодичная занятость",1
"работа в стабильной компании",1
"Возможность профессионального и карьерного развития",1
" Высшее техническое образование в области",0
"опыт разработки",0
"оплачиваемый больничный",1
"компания, оказывающая услуги по",1
"За последние годы мы добились широкой узнаваемости",1
"Управление проектом",0
"контроль правильности работы",0
"заполнение и ведение документации",0
"владение программами",0
"самостоятельность, ответственость, внимательность",0
"оклад",1
"карьерный рост",1
"Работа в молодом энергичном коллективе;",1
"разработка математических моделей",0
"написание программного кода",0
"разработка справочной и техническкой документаци",0
"корпоративный автобус",1
"медицинское страхование в",1
"международный дистрибьютор оборудования",1
"Проектирование и разработка",0
"Внедрение и настройка",0
"Достойную заработную плату",1
"Корпоративное обучение и карьерный рост",1
"Комфортные условия работы в современном офисе",1
"Разработка программного обеспечения",0
"выполнение пуско-наладочных работ",0
"Знание языков программирования",0
"Привилегии аккредитованной IT-компания",1
"Гибкий график работы",1
"Возможность частичной удаленной работы",1
"Командировки",1
"Уже более  лет сотрудники НПП ",1
"Работаем с заказчиками из",1
"Официальное оформление в штат с соблюдением всех норм ТК РФ;",1
"Стабильный конкурентоспособный уровень ЗП;",1
"Полностью «белая» заработная плата;",1
"Гибкое начало рабочего дня;",1
"Предоставление ДМС;",1
"Заработную плату обсуждаем с успешным кандидатом при личной встрече",1
"Пешая доступность от м.",1
"Пешая доступность от станции метро",1
"Комфортное и современное пространство с зоной отдыха для персонала",1
"Молодой, креативный коллектив",1
"Зарплата без задержек – стабильно, чётко, вовремя",1
"ежемесячные корпоративы",1
"опыт преподавания ",0
"карьерный рост",1
"возможность дополнительного обучения;",1
"Компания существует с года.",1
"среднее образование",0
"опыт работы в сфере",0
"гарантия стабильности и долгосрочной занятости",1
"регулярные корпоративные мероприятия;",1
"завод приглашает на работу",1
"с пн-пт",1
"работа с понедельника по пятницу",1
"первичная документация",0
"владение базовыми навыками",0
"испытательный срок",1
"офис с кондиционером",1
"группа компаний, специализирующихся на",1
"график обучения",1
"обучение за счет клиники",1
"скидка на обучение",1
"группа компаний ищет",1
"работа в компании с мировым именем",1
"Приглашаем откликнуться на вакансию",1
"в стабильной, динамично развивающейся компании",1
"работа в стабильной компании",1
"скидки для сотрудников на услуги компании",1
"Работу в стабильной компании с возможностью профессионального и карьерного роста",1
"работа в устойчивой федеральной компании",1
"Сегодня это одна из крупнейших компаний",1
"Стабильная работа в крупной компании",1
"более лет предоставляет полный комплекс",1
"компания мирового уровня",1
"В нашей компании нет бюрократии, все процессы прозрачны и открыты",1
"в нашей компании нет текучки кадров",1
"Сегодня это одна из крупнейших компаний России в области",1
"группа компаний",1
"сеть многопрофильных, высокотехнологичных клиник",1
"Группа компаний Лайт приглашает",1
"работа в группе компаний",1
"группа компаний федерального уровня",1
"многопрофильная клиника",1
"самые успешные компании в мире",1
"Сегодня это одна из крупнейших медицинских компаний России",1
"Компания приглашает на работу",1
"работа в стабильной компании",1
"Мы одна из самых крупных и современных",1
"Мы одна из самых крупных и технологичных компаний",1
"Мы - группа компаний",1
"в ходит в пятерку лучших работодателей России",1
"входит в пятерку наиболее привлекательных работодателей России",1
"Мы быстроразвивающаяся компания",1
"Адреса клиник",1
"Компания - это сеть федерального значения",1
"За  лет существования мы освоилиы .",1
"Работа в крупной и стабильной компании",1
"Программу лояльности для сотрудников:",1
"надбавки за стаж",1
"работа в федеральной компании",1
"Стать частью стабильной компании, уверенно существующей уже",1
"ЗАРАНЕЕ БЛАГОДАРИМ ВСЕХ ЗА ИНТЕРЕС К НАШЕЙ КОМПАНИИ!",1
"федеральная компания",1
"Мы активно развивающаяся компания в сфере",1
"Скидки 30% на услуги Компании для вас и ваших близких",1
"Скидки % на услуги Компании",1
"Стратегический партнер для бизнеса",1
"Производственная компания",1
"работаюащя на рынке",1
"динамично развивающаяся группа компаний",1
" один из лидеров негосударственного сектора",1
"компания является членом",1
"Работа в стабильной компании и в отличном коллективе",1
" Сеть клиник входит в ТОП-10 рейтинга",1
"Крупнейшая в России страховая компания",1
"10 причин, чтобы работать в нашей компании!",1
"Достойная зарплата",1
"Прозрачная система мотивации",1
" Лояльное и дружелюбное руководство, заинтересованное в вашем росте;",1
"Работа в стабильной компании с отличной репутацией",1
" Комфортный кабинет в удобном месте;",1
"Возможен гибкий график работы по договорённости;",1
"Большие возможности карьерного роста",1
"у нас крупная сеть из филиалов в",1
"Место работы:",1
"график работы:",1
"Скидки на услуги клиники;",1
"Понятная система мотивации",1
"Премии за участие в",1
"бонусная программа",1
"работу в компании с более чем -ти летней историей;",1
"сеть клиник приглашает на работу",1
"Работа в крупной компании",1
"График работы:",1
"Сменный график работы",1
"График работы: 5/2",1
"Комфортный график работы и широкие возможности для внутреннего совмещения;",1
"График работы сменный 2/2 или 5/2",1
"График работы сменный, одна рабочая суббота с 9:00 до 18:00",1
"График работы стабильный ",1
"График работы: 5\2 с 7:00-11:00;",1
"Комфортный график работы",1
"Сменный график по 6 часов",1
"Работа по графику сменности.",1
"График работы 2/2 с 9.00 до 21.00",1
"Стоимость смены",1
"график работы 2/2 с 08-20:00.",1
"Возможен график 2\2 или 3/3.",1
"График работы: По 2 часа два раза в день.",1
"Возможность выбора графика, совместительство;",1
"график работы 5/2 с 09:00-18:00",1
"График работы: 5 дней в неделю пн - пт : с 09:00 - 20:00, сб : с 09:00 - 14:30 или с 14:30 - 20:00",1
"График работы- суточный: сутки через трое или в удобном для Вас режиме.",1
"График работы с 8.00 до 14.00",1
"график работы : сутки через трое или 2 дня по 12 часов рабочие, 2 дня выходные",1
"График работы: 5/2 или 2/2;",1
"Сменный график",1
"График работы 2/2, возможна подработка;",1
"Смена 12 часов, график 2/2",1
"Индивидуальный график работы (5/2 или 2/2)",1
"сменный график по 12 часов, три, через три.",1
"График работы сменный 1/2 с 7:00 до 23:00",1
"График работы гибкий",1
"Оформление по ТК РФ",1
"ТК РФ",1
"график работы обсуждается индивидуально",1
"график работы обсуждается индивидуально",1
"График работы сменный: 2/2, с 7:00 до 19:00",1
"Бесплатные 2-разовые обеды;",1
"Вечерняя смена с 12.30 до 20.00",1
"Утренняя смена с 7.30 до 15.00",1
"Оформление по ТК РФ и стабильная зарплата (2 раза в месяц).",1
"График работы: 5/2 посменно (6 часов)",1
"График работы 2/2 (Время работы: 6:30(7:00) – 18:00) или 5/2 с плавающими выходными днями.",1
"График работы: 2/2, с 8.00 до 20.00.",1
"Часы работы в график 2/2 Будни дни:7.30-21.00 Выходные: 9.00-19.00;",1
"Удобный сменный график работы - 2/2;",1
"гибкий/сменный график работы, 2/2 (пн-пт с 8:00 до 20:00, сб с 9:00 до 15:00, вс выходной)",1
"График 2/2 с 08.00-20.00(первое время возможен график пятидневка по 8 часов)",1
"1/3 - график суточный, 5/2-работа днем",1
"График работы сменный 2-3р/нед",1
"график работы 5/2 с 7:00 до 15:30;",1
"График работы: 2/2 с 8 до 20:00 или с 9 до 21:00;",1
"Обсуждаемый график 2/2 или 5/2",1
"График работы: 5/2 08.00-16.18 или 11.48 - 20.00",1
"График работы 1/3 суточный;",1
"сменный график (1 смена с 8 до 14, 2 смена с 14 до 20), 5-6 смен в неделю.",1
"график суточный",1
"График :5/2,с 8:00 до 16:00/10:00-18:00",1
"график работы сменный: 1/3 (сутки через трое)",1
"График работы с 08.00 до 20.00 по графику 2х2",1
"оформление согласно трудовому кодексу",1
"ассистирование",0
"средне-специальное образование",0
"действующий сертификат",0
"встреча и обслуживание",0
"организация записи",0
"обеспечение прима",0
"сопровождение пациента",0
"обслуживание пациентов",0
"обслуживание оборудования",0
"заполнение и подписание договоров",0
"заполнение кассовой документации",0
"контроль за работой",0
"деловые качества",0
"доброжелательность, общительность, инициативность",0
"быстрое и точное выполнение",0
"умение работать с",0
"комункабельность, умение взаимодействовать с сотрудниками",0
"умение взаимодействия с клиентами",0
"стрессоустойчивость",0
"умение работать в команде",0
"организаторские способности",0
"грамотная речь",0
"грамотная письменная и устная речь",0
"обязанности",0
"Участие в подготовке и корректировке",0
"участие в",0
"условия",0
"экспертиза в",0
"дипломированный специалист",0
"бакалавр, магистр",0
"бакалавр",0
"магистр",0
"Обязанности:",0
"сбор первичных данных",0
"сбор первичных",0
"контроль качества",0
"образование не ниже среднего профессионального",0
"по направлениям подготовки",0
"обеспечить целевое",0
" Основные обязанности",0
"бакалавриат, специалитет",0
"специалитет",0
"ежеквартальные премии",1
"Задачи, которые Вам предстоит решать:",0
"сбор данных",0
"надбавки за",1
"Профессиональный рост в нашей компании",1
"профессиональный рост в компании",1
"Офис в центре города",1
"знание MS Excel на уровне ",0
"знание на уровне",0
"Система наставничества и четкие перспективы",1
"навык",0
"навык паяльных работ",0
"навык работ по",0
"помощь в",0
"помощь пользователям",0
"в процессе",0
"тестовые инструменты",0
"программное обеспечение",0
"жизненый цикл",0
"опыт в",0
"опыт тестирования",0
"твоими задачами будут",0
"жизненный цикл",0
"умение и желание работать в команде",0
"проверка и устранение",0
"ведение учета",0
"Ведение бухгалтерского и налогового учета",0
"организовывать тестирование, выявлять ошибки",0
"организовывать тестирование",0
"выявлять ошибки",0
"предлагать улучшения",0
"знание",0
"Компания представлена в",1
"Знание ПО",0
"знание программного обеспечения",0
"инженер",0
"менеджер продуктов",0
"добровольное медецинское страхование",0
"Уровень знания английского",0
"знание английского",0
"улучшать текущий",0
"разработка новых продкутов",0
"Работа с дефектами в",0
"Закупка оборудования, формирование документов",0
"формирование документов",0
" Работы по монтажу",0
"обслуживание систем",0
"систем контроля управления доступом",0
"Взаимодействие с",0
"контроль устранения",0
"Выгрузка моделей",0
"контроль",0
"Контроль соблюдения",0
"опыт работы в роли",0
"технологическая компания",1
"Динамично развивающаяся компания в сфере IT-технологий предлагает интересную позицию в молодой команде",1
"Опыт работы в аналогичной должности от  лет обязателен",0
"График работы 5/2 с гибким началом рабочего дня",1
"Создание презентаций и подготовка аналитических отчетов для руководства",0
"Корпоративные тренинги и профессиональное развитие за счет компании",1
"Высшее образование (техническое или экономическое)",0
"Медицинская страховка и компенсация питания в офисе",1
"Активное участие в переговорах с клиентами и заключение сделок",0
"Современный офис в центре города с развитой инфраструктурой",1
"Знание английского языка не ниже уровня Upper-Intermediate",0
"Возможность карьерного роста и продвижения внутри компании",1
"Контроль выполнения проектов и соблюдение сроков",0
"Конкурентная заработная плата с системой премирования",1
"Уверенный пользователь ПК (Word, Excel, PowerPoint)",0
"Работа в friendly коллективе единомышленников",1
"Подготовка документации и ведение деловой корреспонденции",0
"Стабильная компания с -летней историей на рынке финансовых услуг приглашает на вакансию",1
"Опыт работы с клиентами и навыки продаж являются преимуществом",0
"Современный офис с комфортными условиями труда в деловом центре города",1
"Анализ рынка и подготовка рекомендаций для принятия решений",0
"Корпоративная культура, основанная на доверии и взаимоуважении",1
"Высокая стрессоустойчивость и способность работать в условиях многозадачности",0
"График работы 5/2 с возможностью удаленной работы",1
"Участие в разработке стратегических планов развития компании",0
"Бонусы за достижение ключевых показателей эффективности",1
"Навыки аналитического мышления и решение сложных задач",0
"Подготовка отчетности по результатам выполненных проектов",0
"Оформление согласно ТК РФ и своевременная выплата зарплаты",1
"Знание специализированного программного обеспечения",0
"Возможность профессионального роста и обучения у лучших экспертов отрасли",1
"анализ рынка",0
"подготовка отчетностей",0
"Творческая атмосфера",1
"Разработка концепций маркетинговых кампаний",0
"Контроль качества готовой продукции",0
"Международная компания в сфере логистики",1
"Написание технической документации к",0
"Строительная компания с -летним опытом",1
"Ведение проектной документации по объектам",0
"Работа с чертежами и эскизами",0
"полный соцпакет",1
"Анализ финансовой отчетности",0
"Подготовка коммерческих предложений для клиентов",0
"Медицинский центр высокого уровня",1
"Проведение диагностических процедур и консультаций",0
"Создание контента для",0
"Подготовка договорной документации",0
"Консультирование клиентов по",0
"Оценка состояния ",0
"Управление товарными запасами на складе",0
"контроль качества",0
"должен обладать навыками",0
"Высшее или среднее профессиональное образование по направлению подготовки",0
"Высшее образование по направлению подготовки",0
"среднее профессиональное образование по направлению подготовки",0
"регистрация пользователей в",0
"Участие в проектах по внедрению",0
"Личные качества:",0
"Хорошие коммуникативные навыки‚ доброжелательность,",0
"ответственность‚ исполнительность, стрессоустойчивость",0
"базовые знания",0
"знание систем семейства",0
"знание прикладных программ",0
"Высшее техническое образование",0
"Расширенный соц.пакет.",1
"Организационно-методическое сопровождение оснащения",0
"информационно-коммуникационной инфраструктуры",0
"Заниматься сопровождением пользователей",0
"в ваши обязанности входит",0
"обязанности",0
"сертификат специалиста",0
"опыт работы",0
"навыки работы в команде",0
"ассистент специалиста",0
"ассистент",0
"ассистировать",0
"Опыт работы в хирургическом отделении приветствуется",0
"Опыт работы приветствуется",0
"Опыт работы в отделении приветствуется",0
"многопрофильный медицинский центр",1
"Уровень дохода обсуждается",1
"Опытный пользователь ПК",0
"уверенный пользователь ПК",0
"наша цель",0
"Будет плюсом Опыт работы в",0
"Сотрудничество с высококвалифицированными инженерами с большим опытом.",0
"в 5 минутах ходьбы от метро.",0
"(или аналог)",0
"или аналог",0
"растущий доход",1
"формат работы на выбор",1
"ООО",1
"ОАО",1
"ИП",1
"индивидуальный предприниматель",1
"Work-life balance",1
"Будет плюсом: Использование в проектах",0
" Высшее образование",0
"опыт ведения проектов",0
"работа на руководящей позиции",0
"отличные навыки",0
"отличные коммуникационные навыки",0
"отличные организаторские навыки",0
"(пакет MS Office, Google Docs)",0
"Мы предлагаем:",1
"Знакомство с протоколом",0
"Опыт работы с эмуляторами платежных сетей",0
"Мы интегрируем свою инжиниринговую команду в бизнес заказчика",0
"Компания представлена в городах",0
"Знание УСН",0
"Опыт работы с системами контроля версий",0
"DBeaver / pgadmin;",0
"Программы ДМС со стоматологией;",1
"Зоны отдыха;",1
"Дополнительные дни к отпуску:",1
"Опыт работы Frontend разработчиком от 2 лет.",0
"Знание архитектуры веб-приложений",0
"Отладка и тестирование",0
"Опыт работы с одним из фреймворков",0
"Желательно : Опыт работы с ",0
"картографическими библиотеками",0
"Опыт работы в системах баг-трекинга",0
"Контроль выдачи траншей",0
"Вся необходимая техника для работы",1
"С нами интересно и уютно",1
"Будет плюсом: Практический опыт работы с",0
"Разработка автоматизированных систем управления",0
"Будет плюсом если Вы обладаете: опытом работы с ",0
"опытом непосредственной работы с ",0
"опытом работы системным или бизнес-аналитиком.",0




