sentence,label
"Осуществление контроля за выполнением проектов",0
"Работа над пользовательским интерфейсом — ваша задача",0
"В работе потребуется умение писать чистый и поддерживаемый код",0
"Требуется умение эффективно планировать рабочее время и приоритеты",0
"Опыт с CSS preprocessors (SASS/LESS) приветствуется",0
"условия",0
"Необходимо умение работать с фреймворками (React, Vue)",0
"Быстрая обучаемость",0
"Необходима клиентоориентированность и желание помогать людям",0
"График работы: 5/2 или 2/2;",1
"больничные и отпуск",1
"Опыт работы с электронными медицинскими картами приветствуется",0
"Документация медицинских случаев — важная часть работы",0
"компания, оказывающая услуги по",1
"Пешая доступность от м.",1
"Работа с кэшированием и индексацией данных",0
"контроль",0
"разработка математических моделей",0
"является аккредитованной ИТ-компанией",1
"График работы сменный 2-3р/нед",1
"действующий сертификат",0
"магистр",0
"вахтовый метод работы",1
"Работа в центре города с удобной транспортной доступностью",1
"Достойную без задержек заработную плату;",1
"заполнение и ведение документации",0
"проверка и устранение",0
"Необходимо понимание принципов работы серверов и сети",0
"Высокая стрессоустойчивость и способность работать в условиях многозадачности",0
"Необходима способность быстро адаптироваться к новым условиям работы",0
"Кандидат должен иметь опыт работы с NoSQL-базами данных, такими как Redis",0
"Мы являемся обладателями премии 'Лучший работодатель года' два года подряд",1
"Создание презентаций и подготовка аналитических отчетов для руководства",0
"Наша история насчитывает  лет успеха и доверия!",1
"Стрессоустойчивость приветствуется",0
"Знание архитектуры веб-приложений",0
"Требуется готовность выполнять задачи в условиях многозадачности",0
"Проектирование и разработка функционала",0
"уверенное владение основными программами:",0
"Работать в коллективе с демократичным подходом",1
"опыт работы в должности",0
"Будет плюсом: Практический опыт работы с",0
"Выгрузка моделей",0
"Кандидат должен обладать навыками отладки и поиска ошибок в коде",0
"Строительная компания с -летним опытом",1
"интернатура/ординатура по специальности",0
"Подарки на Новый год",1
"График работы 5/2 с гибким началом рабочего дня",1
"контроль качества",0
"Вы будете участвовать в разработке стратегических решений для бизнеса",0
"Мы гордимся тем, что сотрудничаем с такими российскими гигантами, как Газпром и Лукойл",1
"Действующий сертификат по специальности",0
"Мы ценим креативный подход к вёрстке",1
"Удобный сменный график работы - 2/2;",1
"Грамотный письменный русский язык",0
"Целеустремленность и настойчивость требуются",0
"Команда поддерживает agile методологии разработки",1
"Мы уже занимаемся",1
"Работа в команде experienced developers и architects",1
"компания мирового уровня",1
"Кандидат должен обладать аналитическим мышлением и вниманием к деталям",0
"ТК РФ",1
"Контроль выдачи траншей",0
"оплата проезда к месту отдыха и обратно",1
"Работа с чертежами и эскизами",0
"предлагать улучшения",0
"Высшее техническое образование",0
"Командировки",1
"сменный график (1 смена с 8 до 14, 2 смена с 14 до 20), 5-6 смен в неделю.",1
"Уровень зп",1
"Наша компания уже более лет являемся крупнейшими поставщиками",1
"Компания входит в ТОП-10 лучших работодателей России по версии Forbes",1
"международный дистрибьютор оборудования",1
"Корпоративная культура, основанная на доверии и взаимоуважении",1
"держим первое место на рынке",1
"Наличие портфолио",0
"Необходим опыт тестирования программного обеспечения, включая unit-тесты",0
"График работы с 8.00 до 14.00",1
"Знание библиотек для анимации (GSAP, Three.js) будет плюсом",0
"работа в группе компаний",1
"жизненный цикл",0
"экспертиза в",0
"Компания обеспечивает доступ к платным курсам повышения квалификации",1
"Навыки многозадачности крайне важны",0
"в нашей компании нет текучки кадров",1
"Кандидат должен обладать развитыми организаторскими способностями",0
"Необходимы навыки работы с облачными платформами AWS или Azure",0
"Мы активно развивающаяся компания в сфере",1
" Основные обязанности",0
"За последние 10 лет мы успешно реализовали более 500 проектов для международных клиентов",1
"обучение за счет клиники",1
"Доступна компенсация питания и спортивных мероприятий",1
"С момента основания в 2008 году мы стали одной из самых динамично развивающихся компаний в РФ",1
"Требуется опыт разработки мобильных приложений на Flutter или React Native",0
"Кандидат должен обладать развитыми организаторскими способностями",0
"средне-специальное образование",0
"скидка на обучение",1
"График работы 2/2 с 9.00 до 21.00",1
"Необходим опыт работы с базами данных PostgreSQL и MongoDB от 2 лет",0
"написание программного кода",0
"Команда профессионалов готова поделиться опытом",1
"Важна способность эффективно взаимодействовать с заказчиками и собирать требования",0
"знание методологии",0
"улучшать текущий",0
"Работа над архитектурой серверной части приложения",0
"Работа в стабильной компании и в отличном коллективе",1
"комункабельность, умение взаимодействовать с сотрудниками",0
"Сменный график",1
"Возможность сотрудничества с топовыми дизайнерами",1
"Разработка логики обработки транзакций и платежей",0
"Сменный график работы",1
"отличные навыки",0
"Необходима способность быстро адаптироваться к новым условиям работы",0
"Мы ценим инновационный подход",1
"В работе потребуется знание методологий Agile и Scrum",0
"Требуется умение документировать код и создавать техническую документацию",0
"контроль за работой",0
"Официальное оформление: оплачиваемые отпуска и больничные.",1
"График работы: 5/2 посменно (6 часов)",1
"корпоративный автобус",1
"Сменный график",1
"Консультировать покупателей по ассортименту",0
"Работа в молодом энергичном коллективе;",1
"работа в компании с мировым именем",1
"С момента основания в 2005 году мы выросли из небольшой студии в международный холдинг",1
"Часы работы в график 2/2 Будни дни:7.30-21.00 Выходные: 9.00-19.00;",1
"Необходимо знание специфики B2B-продаж",0
"Работа в стабильной компании с отличной репутацией",1
"Клиника оснащена современным медицинским оборудованием",1
"Необходим опыт работы с офисным программным обеспечением (Word, Excel, PowerPoint)",0
"Работаем с заказчиками из",1
"более лет занимается развитием",1
"систем контроля управления доступом",0
"График 5/2: суббота — сокращённый день, воскресенье и понедельник — выходные",1
"график работы:",1
"ассистент специалиста",0
"Опыт с NoSQL базами данных (MongoDB, Cassandra)",0
"Кандидат должен обладать лидерскими качествами для управления командой разработки",0
"выявлять ошибки",0
"должен обладать навыками",0
"Бренд года в",1
"Работникам предоставляется 25 дней оплачиваемого отпуска в год",1
"График работы: 5\2 с 7:00-11:00;",1
"Мы предлагаем гибкий график для врачей и медсестер",1
"наличие действующего сертификата",0
"Знание JavaScript на продвинутом уровне",0
"Анализ рынка и подготовка рекомендаций для принятия решений",0
"Мы быстроразвивающаяся компания",1
"График работы: 2/2, с 8.00 до 20.00.",1
"Контроль качества готовой продукции",0
"круглогодичная занятость",1
"график работы 5/2 с 09:00-18:00",1
"опытом работы системным или бизнес-аналитиком.",0
"надбавки за",1
"Компания специализируется на создании enterprise-решений",1
"Оформление согласно ТК РФ и своевременная выплата зарплаты",1
"организовывать тестирование",0
"Внимательность к деталям, аккуратность, тренированная насмотренность",0
"Возможность участвовать в разработке high-load систем",1
"Высшее образование (техническое или экономическое)",0
"Компания предоставляет ноутбук и телефон",1
"Благодаря нашей экспертизе, мы помогли более чем 1000 клиентов достичь их бизнес-целей",1
"в ходит в пятерку лучших работодателей России",1
"Опыт работы с клиентами и навыки продаж являются преимуществом",0
"Офис оборудован комфортными рабочими местами и зоной отдыха",1
"Кандидат должен обладать глубокими знаниями языков программирования Python и Java",0
"В этом году мы отметили 20-летие успешной работы на рынке финансовых услуг",1
"сопровождение пациента",0
"Работа в современном офисе с комфортными условиями",1

"Обязанности включают взаимодействие с клиентами и поддержку их запросов",0
"Мы обеспечиваем сотрудников protective gear и инструментами",1
"корпоративы",1
"Компания входит в ТОП-10 лучших работодателей России по версии Forbes",1
"Требуется понимание основ DevOps и навыки работы с CI/CD-процессами",0
"Участие в разработке стратегических планов развития компании",0
"Предоставляем современное рабочее место с эргономичной мебелью",1
"Обязательное владение навыками диагностики пациентов",0
"разработка справочной и техническкой документаци",0
"Гибкий график работы",1
"Кандидат должен обладать аналитическим мышлением и вниманием к деталям",0
"Требуется умение работать с системами контроля версий, такими как Git",0
"Опыт работы в аналогичной должности от  лет обязателен",0
"Доступна компенсация питания и спортивных мероприятий",1
"Представляем Вашему вниманию нашу компанию",1
"надбавки за стаж",1
"Требуется умение грамотно формулировать свои мысли в письменной и устной форме",0
"Личные качества:",0
"Уверенные навыки работы с",0
"Опытный пользователь ПК",0
"Комфортное и современное пространство с зоной отдыха для персонала",1
"Скидки на компании для всех сотрудников",1
"Официальное оформление в штат с соблюдением всех норм ТК РФ;",1
"Сотрудник должен проявлять инициативу и стремление к развитию",0
"Приглашаем откликнуться на вакансию",1
"Важна способность решать сложные технические задачи в условиях ограниченного времени",0
"Кандидат должен обладать аналитическим складом ума",0
"Участие в подготовке и корректировке",0
"опыт работы",0
"Опыт работы приветствуется",0
"Широкий кругозор, креативность, инициативность, нешаблонное мышление",0
" Высшее образование",0
"Возможность профессионального и карьерного развития",1
"Соблюдение санитарных норм и правил безопасности",0
"Требуется умение работать с большим объемом информации и документации",0
"график работы : сутки через трое или 2 дня по 12 часов рабочие, 2 дня выходные",1
"В работе потребуется умение документировать код и создавать техническую документацию",0
"Кандидат должен иметь навыки переговоров с клиентами",0
"Предоставляется корпоративный транспорт для удобства сотрудников",1
"Управление проектом",0
"Разрабатывать все стадии",0
"быстрое и точное выполнение",0
"в стабильной, динамично развивающейся компании",1
"Адреса клиник",1
"Крупнейшая в России страховая компания",1
"Наша компания является лидером в области IT-консалтинга на протяжении 15 лет",1
"Медицинский центр высокого уровня",1
"Подготовка документации и ведение деловой корреспонденции",0
"сдельная оплата",1
"У нас дружный коллектив и комфортная атмосфера",1
"Составлять ведомости",0
"Уверенный пользователь",0
"Привилегии аккредитованной IT-компания",1
"Наша команда разработала инновационное решение, которое используется в 50+ странах мира",1
"Мы предоставляем корпоративные обеды для всех сотрудников",1
"Предоставляется возможность работать с большими данными",1
"Бесплатная парковка;",1
"уверенный пользователь ПК",0
"ежемесячные корпоративы",1
"Необходимо умение грамотно формулировать свои мысли в письменной и устной форме",0
"Кандидат должен обладать лидерскими качествами для управления командой разработки",0
"Подготовка коммерческих предложений для клиентов",0
"менеджер продуктов",0
"технологическая компания",1
"Вечерняя смена с 12.30 до 20.00",1
"У нас работают ведущие специалисты в области медицины",1
"Дополнительные бонусы",1
"Компания предлагает стажировки у ведущих специалистов",1
"график работы обсуждается индивидуально",1
"Опыт работы с одним из фреймворков",0
"Удаленный график работы",1
"гибкий/сменный график работы, 2/2 (пн-пт с 8:00 до 20:00, сб с 9:00 до 15:00, вс выходной)",1
"группа компаний",1
"Компания предлагает тренинги для профессионального развития",1
"График работы: 5/2",1
"За последние годы мы получили более 20 патентов на уникальные разработки",1
"График работы сменный 1/2 с 7:00 до 23:00",1
"офис с кондиционером",1
"Получать конкурентоспособную зарплату;",1
"Мы обеспечиваем полный соцпакет согласно ТК РФ",1
"Требуется способность решать задачи в условиях многозадачности",0
"Профессиональный рост в нашей компании",1
"График работы сменный, одна рабочая суббота с 9:00 до 18:00",1
"Офис компании расположен в пешей доступности от метро",1
"График работы: 5/2 08.00-16.18 или 11.48 - 20.00",1
"Возможность выбора графика, совместительство;",1
"Оформление по трудовому договору;",1
"Корпоративное обучение и карьерный рост",1
"индексация заработной платы",1
"график обучения",1
"Новый салон премиум-класса от производителя",1
"Утренняя смена с 7.30 до 15.00",1
"Взаимодействие с",0
"ведение учета",0
"График работы гибкий",1
"карьерный рост",1
"Нашими постоянными клиентами являются такие компании, как Google, Microsoft и Amazon",1
"помощь в",0
"В работе потребуется знание сетевых протоколов и принципов работы интернета",0
"Разработка программного обеспечения",0
"У нас есть современная техника и все необходимые инструменты для работы",1
"Знание языков программирования",0
"Необходима клиентоориентированность и желание помогать людям",0
"бакалавр",0
"растущий доход",1
"Важна способность работать с legacy-кодом и поддерживать старые проекты",0
"Разработка и поддержка",0
"Организация мероприятий — часть ваших ежедневных обязанностей",0
"Возможность частичной удаленной работы",1
"более лет предоставляет полный комплекс",1
" Работы по монтажу",0
"у нас крупная сеть из филиалов в",1
"среднее профессиональное образование в",0
"группа компаний федерального уровня",1
"Необходимы навыки работы с облачными платформами AWS или Azure",0
"Стабильная работа без простоев в IT-проектах",1
"основана в 2011 году,",1
"опыт разработок",0
"Будет плюсом Опыт работы в",0
"базовые знания",0
"Мы предлагаем программу профессионального развития и обучения",1
"Молодой дружный коллектив;",1
"у компании имеется многолетний опыт в сфере",1
"Скидки от партнеров",1
" Сеть клиник входит в ТОП-10 рейтинга",1
"Возможен гибкий график работы по договорённости;",1
"навыки работы в команде",0
"Кандидат должен уметь эффективно взаимодействовать с командой разработки",0
"готовить текхническое задание",0
"Обязателен опыт подготовки отчетности",0
"бакалавр, магистр",0
"опыт преподавания ",0
"За последние 10 лет мы успешно реализовали более 500 проектов для международных клиентов",1
"работа в стабильной компании",1
"по направлениям подготовки",0
"Оформление по ТК РФ",1
"Сегодня это одна из крупнейших компаний",1
"Работа с дефектами в",0
"Осуществление контроля за сроками проектов",0
"Создание прототипов и тестирование UI-компонентов",0
"Ведение проектной документации по объектам",0
"более  лет является",1
"Уже более  лет сотрудники НПП ",1
"Создание динамических элементов пользовательского интерфейса",0
"Современное оборудование и комфортные условия работы",1
"Понятная система мотивации",1
"работа в федеральной компании",1
"Необходим опыт работы от года",0
"Обязанности:",0
"Предлагаем бонусы за привлечение новых клиентов",1
"навык",0
"Стабильная работа в крупной компании",1
"Хорошие коммуникативные навыки‚ доброжелательность,",0
"Макеты для презентаций;",0
"Доступна компенсация питания и спортивных мероприятий",1
"Высшее профессиональное образование",0
"Необходимо владеть английским языком на уровне не ниже Intermediate",0
"Работа в офисе в пешей доступности от",1
"Мы - команда людей, увлеченных своим делом",1
"работа в стабильной компании",1
"ООО",1
"контроль правильности работы",0
"Work-life balance",1
"Необходима готовность выполнять задачи в условиях многозадачности",0
"Важна способность критически мыслить и анализировать ситуацию",0
"Благодаря нашей экспертизе, мы помогли более чем 500 российским компаниям выйти на международный рынок",1
"владение базовыми навыками",0
"Наша миссия — сделать высокотехнологичные решения доступными для каждого региона России",1
"(или аналог)",0
"Комфортные условия работы в современном офисе",1
"признан лучшим отечественным брендом",1
"Компания предоставляет access к premium технологиям",1
"группа компаний ищет",1
"Важна нацеленность на результат и стремление к достижению целей",0
"многопрофильный медицинский центр",1
"Компания проводит регулярные корпоративные мероприятия",1
"Необходим опыт работы с облачными платформами AWS или Azure",0
"Стабильный конкурентоспособный уровень ЗП;",1
"Кандидат должен иметь опыт разработки RESTful API и GraphQL",0
"обслуживание пациентов",0
"индивидуальный предприниматель",1
"График работы стабильный ",1
"Опыт работы с HTML и CSS необходим",0
"умение работать с",0
"Нашими постоянными клиентами являются такие компании, как Google, Microsoft и Amazon",1
"стрессоустойчивость",0
"Современный офис в центре города с развитой инфраструктурой",1
"Конкурентная заработная плата с системой премирования",1
"опыт работы в сфере",0
"Нашими постоянными клиентами являются такие компании, как Яндекс и Сбербанк",1
"Опыт работы Frontend разработчиком от 2 лет.",0
"Дружелюбный коллектив",1
"Заниматься сопровождением пользователей",0
"Опыт работы в сфере продаж является обязательным требованием",0
"работа с понедельника по пятницу",1
"Система наставничества и четкие перспективы",1
"контроль качества",0
"среднее профессиональное образование по направлению подготовки",0
"Сотрудничество с высококвалифицированными инженерами с большим опытом.",0
"испытательный срок",1
"Написание технической документации к",0
"Творческая атмосфера",1
"С момента основания в 2005 году мы выросли из небольшой студии в международный холдинг",1
"График работы 5/2 с возможностью удаленной работы",1
"Вы будете координировать работу между отделами",0
"Офис в центре города",1
"Офис компании расположен в пешей доступности от метро",1
"жизненый цикл",0
"Ответственность за точность назначений лекарств",0
"Требуется высшее образование в области информационных технологий",0
"Желательно : Опыт работы с ",0
"Производственная компания",1
"Компания поддерживает удаленный формат работы два дня в неделю",1
"сеть многопрофильных, высокотехнологичных клиник",1
"Кандидат должен иметь опыт разработки RESTful API и GraphQL",0
"компания является членом",1
"Мы предлагаем гибкий график работы и возможность удаленной занятости",1
"Наличие действующего сертификата",0
"Умение решать сложные технические задачи",0
"Полностью «белая» заработная плата;",1
"Наша компания известна своим вкладом в развитие цифровой экономики России",1
"регистрация пользователей в",0
"Место работы:",1
"Мы являемся официальными партнерами российских производителей сельскохозяйственной техники",1
"Скидки % на услуги Компании",1
"Мы гордимся тем, что сотрудничаем с такими крупными брендами, как Coca-Cola и Samsung",1
"Компания представлена в городах",0
"Кандидат должен уметь работать с инструментами контейнеризации, такими как Docker и Kubernetes",0
"В работе потребуется умение работать с большими данными и инструментами вроде Hadoop",0
"Наша компания является лидером в области IT-консалтинга на протяжении 15 лет",1
"Консультирование клиентов по",0
"бонусная программа",1
"Задачи включают анализ данных и подготовку аналитических отчетов",0
"Программы ДМС со стоматологией;",1
"Комфортный график работы",1
"Возможен график 2\2 или 3/3.",1
"знание английского",0
"обязанности",0
"Готовность к длительному обучению приветствуется",0
"навык паяльных работ",0
"В нашей компании нет бюрократии, все процессы прозрачны и открыты",1
"контроль устранения",0
"Эскизирование идей/концепций дизайна.",0
"Проектировать интерфейсы",0
"Мы гордимся тем, что сотрудничаем с такими крупными брендами, как Coca-Cola и Samsung",1
"добровольное медецинское страхование",0
